#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.48786     1.48786           0
           2     1.67168     1.57977   0.0649896
           3     1.76376      1.6411   0.0662177
           4     1.75563     1.66973   0.0555099
           5     1.73542     1.68287   0.0459362
           6     1.73912     1.69225   0.0392251
           7     1.75214      1.7008   0.0345422
           8     1.81733     1.71537   0.0331535
           9     1.81828      1.7268   0.0313797
          10     1.79247     1.73337   0.0289208
          11     1.78686     1.73823   0.0266973
          12     1.81653     1.74476   0.0252573
          13      1.8023     1.74918   0.0236991
          14     1.77158     1.75078   0.0220602
          15     1.80615     1.75447    0.020896
          16      1.8138     1.75818   0.0199163
          17     1.84056     1.76303   0.0193252
          18     1.83395     1.76697   0.0186489
          19      1.8056       1.769   0.0177779
          20     1.77434     1.76927    0.016891
          21      1.7799     1.76977   0.0160943
          22     1.81765     1.77195   0.0155091
          23     1.79312     1.77287   0.0148621
          24     1.77548     1.77298   0.0142433
          25     1.81246     1.77456   0.0137608
          26       1.823     1.77642   0.0133571
          27     1.77923     1.77653   0.0128628
          28     1.78862     1.77696   0.0124106
          29      1.7927      1.7775   0.0119946
          30      1.8428     1.77968   0.0117906
          31     1.86438     1.78241   0.0117225
          32     1.85395     1.78465   0.0115674
          33     1.82144     1.78576   0.0112705
          34     1.79074     1.78591   0.0109399
          35     1.80065     1.78633   0.0106355
          36     1.83283     1.78762   0.0104182
          37     1.77726     1.78734   0.0101404
          38     1.79195     1.78746  0.00987424
          39     1.80901     1.78801   0.0096365
          40     1.81479     1.78868  0.00941881
          41     1.77274     1.78829  0.00919711
          42     1.80687     1.78874  0.00898875
          43     1.83517     1.78982  0.00884434
          44     1.84948     1.79117  0.00874667
          45      1.8231     1.79188  0.00858102
          46     1.86314     1.79343  0.00853317
          47     1.86056     1.79486  0.00847028
          48      1.8648     1.79632   0.0084182
          49     1.81048     1.79661  0.00825136
          50     1.77432     1.79616  0.00809837
