#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0954599  -0.0954599           0
           2   -0.279491   -0.187476   0.0650649
           3   -0.371575   -0.248842   0.0662729
           4   -0.363523   -0.277512   0.0555611
           5    -0.34331   -0.290672   0.0459809
           6   -0.347043   -0.300067   0.0392655
           7   -0.360082    -0.30864   0.0345795
           8   -0.425137   -0.323203   0.0331819
           9   -0.426155   -0.334642    0.031405
          10   -0.400307   -0.341208   0.0289428
          11   -0.394827   -0.346083    0.026719
          12   -0.424503   -0.352618   0.0252789
          13   -0.410214   -0.357048   0.0237195
          14   -0.379469    -0.35865   0.0220792
          15   -0.414058   -0.362344    0.020914
          16   -0.421654    -0.36605   0.0199327
          17   -0.448444   -0.370897   0.0193404
          18   -0.441764   -0.374834   0.0186624
          19   -0.413557   -0.376872   0.0177911
          20   -0.382364   -0.377147   0.0169037
          21   -0.387945   -0.377661   0.0161065
          22   -0.425617   -0.379841   0.0155212
          23   -0.401032   -0.380762   0.0148737
          24    -0.38347   -0.380875   0.0142544
          25    -0.42052   -0.382461   0.0137722
          26   -0.430913   -0.384324   0.0133679
          27   -0.387253   -0.384433   0.0128733
          28   -0.396549   -0.384866   0.0124208
          29   -0.400604   -0.385408   0.0120043
          30   -0.450793   -0.387588   0.0118004
          31   -0.472407   -0.390324   0.0117326
          32    -0.46208   -0.392566   0.0115783
          33   -0.429477   -0.393685   0.0112813
          34   -0.398662   -0.393831   0.0109505
          35   -0.408568   -0.394252   0.0106457
          36   -0.440572   -0.395539   0.0104275
          37   -0.385011   -0.395254   0.0101495
          38   -0.399785   -0.395374  0.00988312
          39   -0.416881   -0.395925  0.00964508
          40   -0.422637   -0.396593  0.00942705
          41   -0.380636   -0.396204  0.00920515
          42    -0.41485   -0.396648  0.00899668
          43   -0.443261   -0.397732  0.00885252
          44   -0.457633   -0.399093  0.00875538
          45   -0.431197   -0.399806  0.00858984
          46   -0.471221   -0.401359  0.00854225
          47   -0.468614    -0.40279   0.0084795
          48   -0.472792   -0.404248  0.00842732
          49   -0.418317   -0.404535  0.00826023
          50   -0.382062   -0.404086  0.00810724
