#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0454513   0.0454513           0
           2   0.0472575   0.0463544  0.00063859
           3   0.0475582   0.0467557 0.000537201
           4   0.0496356   0.0474757 0.000742372
           5   0.0487618   0.0477329 0.000636902
           6   0.0505866   0.0482085 0.000685722
           7   0.0502101   0.0484944 0.000644627
           8   0.0480619   0.0484404 0.000566312
           9    0.049639   0.0485736 0.000518811
          10   0.0472556   0.0484418  0.00048338
          11   0.0514188   0.0487124 0.000509601
          12   0.0492471    0.048757 0.000469078
          13   0.0474677   0.0486578 0.000443356
          14   0.0486934   0.0486603 0.000411695
          15   0.0482978   0.0486362 0.000384957
          16   0.0474485   0.0485619 0.000367984
          17   0.0453318   0.0483719 0.000392339
          18   0.0490373   0.0484089  0.00037228
          19   0.0527265   0.0486361 0.000416302
          20   0.0496552   0.0486871 0.000398593
          21   0.0469816   0.0486059 0.000387798
          22   0.0481343   0.0485844 0.000370763
          23   0.0479389   0.0485564 0.000355703
          24   0.0496594   0.0486023 0.000343839
          25   0.0496015   0.0486423   0.0003324
          26   0.0471335   0.0485843 0.000324641
          27    0.048454   0.0485794 0.000312654
          28   0.0505568   0.0486501  0.00030936
          29   0.0467147   0.0485833 0.000305806
          30   0.0492136   0.0486043 0.000296333
          31   0.0491634   0.0486224 0.000287322
          32   0.0505722   0.0486833 0.000284731
          33   0.0539661   0.0488434 0.000317936
          34   0.0473652   0.0487999 0.000311543
          35   0.0497926   0.0488283  0.00030393
          36   0.0538932    0.048969 0.000326431
          37   0.0524893   0.0490641 0.000331184
          38   0.0482679   0.0490432 0.000323131
          39   0.0507271   0.0490863 0.000317717
          40   0.0523147    0.049167 0.000319861
          41   0.0475876   0.0491285 0.000314371
          42   0.0515961   0.0491873 0.000312328
          43   0.0482491   0.0491655 0.000305825
          44   0.0525201   0.0492417 0.000308232
          45   0.0483372   0.0492216 0.000302037
          46   0.0519151   0.0492802 0.000301093
          47    0.051053   0.0493179  0.00029704
          48   0.0527018   0.0493884 0.000299101
          49   0.0519423   0.0494405 0.000297503
          50    0.048077   0.0494132 0.000292801
