#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.991907    0.991907           0
           2     1.11445     1.05318   0.0433264
           3     1.17584     1.09407   0.0441451
           4     1.17042     1.11316   0.0370066
           5     1.15695     1.12191   0.0306241
           6     1.15941     1.12816   0.0261501
           7      1.1681     1.13387   0.0230282
           8     1.21155     1.14358   0.0221023
           9     1.21219      1.1512   0.0209198
          10     1.19498     1.15558   0.0192805
          11     1.19124     1.15882   0.0177982
          12     1.21102     1.16317   0.0168382
          13     1.20153     1.16612   0.0157994
          14     1.18105     1.16719   0.0147068
          15      1.2041     1.16965   0.0139307
          16      1.2092     1.17212   0.0132775
          17     1.22704     1.17535   0.0128835
          18     1.22263     1.17798   0.0124326
          19     1.20373     1.17933   0.0118519
          20     1.18289     1.17951   0.0112607
          21      1.1866     1.17985   0.0107295
          22     1.21177      1.1813   0.0103394
          23     1.19542     1.18191  0.00990808
          24     1.18366     1.18199  0.00949551
          25     1.20831     1.18304  0.00917386
          26     1.21534     1.18428  0.00890472
          27     1.18615     1.18435  0.00857519
          28     1.19241     1.18464  0.00827376
          29     1.19514       1.185  0.00799637
          30     1.22853     1.18645  0.00786037
          31     1.24292     1.18827    0.007815
          32     1.23596     1.18976  0.00771158
          33      1.2143     1.19051  0.00751364
          34     1.19383      1.1906  0.00729329
          35     1.20043     1.19089  0.00709031
          36     1.22188     1.19175  0.00694545
          37     1.18484     1.19156  0.00676024
          38     1.19464     1.19164  0.00658282
          39     1.20601     1.19201  0.00642433
          40     1.20986     1.19246  0.00627921
          41     1.18183      1.1922   0.0061314
          42     1.20458     1.19249   0.0059925
          43     1.22345     1.19321  0.00589623
          44     1.23299     1.19412  0.00583111
          45      1.2154     1.19459  0.00572068
          46      1.2421     1.19562  0.00568878
          47     1.24037     1.19657  0.00564685
          48      1.2432     1.19754  0.00561214
          49     1.20699     1.19774  0.00550091
          50     1.18288     1.19744  0.00539891
