#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      1.3924      1.3924           0
           2     1.39219     1.39229 7.52904e-05
           3     1.39219     1.39226 5.82783e-05
           4     1.39211     1.39222 5.40586e-05
           5     1.39211      1.3922 4.75752e-05
           6     1.39208     1.39218 4.37672e-05
           7     1.39206     1.39216 4.05435e-05
           8     1.39219     1.39217 3.56127e-05
           9     1.39212     1.39216  3.1955e-05
          10     1.39217     1.39216 2.87663e-05
          11     1.39204     1.39215 2.83487e-05
          12     1.39203     1.39214 2.77069e-05
          13     1.39208     1.39214 2.59254e-05
          14     1.39211     1.39213 2.41392e-05
          15     1.39209     1.39213 2.27051e-05
          16     1.39215     1.39213 2.13096e-05
          17     1.39211     1.39213 2.00857e-05
          18     1.39219     1.39213 1.91904e-05
          19     1.39205     1.39213 1.87456e-05
          20     1.39197     1.39212 1.93896e-05
          21     1.39196     1.39211 2.00174e-05
          22     1.39203     1.39211 1.94347e-05
          23     1.39209     1.39211 1.86082e-05
          24     1.39201     1.39211 1.82579e-05
          25     1.39194      1.3921  1.8723e-05
          26     1.39209      1.3921 1.80048e-05
          27     1.39198     1.39209 1.78737e-05
          28     1.39207     1.39209  1.7262e-05
          29      1.3921     1.39209 1.66683e-05
          30     1.39201     1.39209 1.63697e-05
          31     1.39197     1.39209 1.63062e-05
          32     1.39187     1.39208 1.71727e-05
          33     1.39197     1.39208 1.69948e-05
          34     1.39208     1.39208 1.64957e-05
          35     1.39208     1.39208 1.60245e-05
          36     1.39225     1.39208 1.63278e-05
          37     1.39225     1.39209  1.6493e-05
          38     1.39217     1.39209 1.62044e-05
          39     1.39213     1.39209 1.58204e-05
          40     1.39216     1.39209 1.55165e-05
          41     1.39211     1.39209 1.51427e-05
          42     1.39202     1.39209 1.48752e-05
          43     1.39191     1.39209 1.50972e-05
          44     1.39185     1.39208 1.56898e-05
          45      1.3919     1.39208 1.58413e-05
          46     1.39192     1.39207  1.5846e-05
          47     1.39194     1.39207 1.57496e-05
          48     1.39201     1.39207 1.54775e-05
          49     1.39216     1.39207 1.52796e-05
          50     1.39226     1.39207 1.54168e-05
