#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.75285     1.75285           0
           2     1.67991     1.71638   0.0257895
           3     1.67435     1.70237   0.0206511
           4     1.68961     1.69918   0.0157327
           5     1.70083     1.69951   0.0125896
           6      1.6253     1.68714   0.0154127
           7     1.66947     1.68462   0.0134162
           8     1.66137     1.68171   0.0120498
           9     1.66026     1.67933   0.0109441
          10     1.69262     1.68066  0.00993007
          11     1.66252     1.67901   0.0091632
          12     1.67603     1.67876  0.00840296
          13     1.65378     1.67684  0.00797325
          14     1.66195     1.67578  0.00747435
          15     1.63027     1.67274  0.00756666
          16     1.67817     1.67308  0.00710134
          17     1.64591     1.67148  0.00686117
          18     1.64333     1.66992  0.00665586
          19     1.70584     1.67181   0.0065685
          20     1.67364      1.6719  0.00624072
          21      1.6407     1.67041  0.00611789
          22     1.70887     1.67216  0.00608434
          23     1.65561     1.67144  0.00586219
          24     1.64987     1.67054  0.00568646
          25     1.66863     1.67047  0.00545952
          26     1.65123     1.66973  0.00529943
          27     1.68337     1.67023  0.00512719
          28     1.68134     1.67063   0.0049594
          29     1.66718     1.67051  0.00478981
          30     1.68028     1.67084   0.0046412
          31      1.6808     1.67116   0.0045026
          32     1.69111     1.67178  0.00440486
          33     1.65019     1.67113  0.00431967
          34     1.66107     1.67083  0.00420275
          35     1.68779     1.67132   0.0041105
          36     1.65574     1.67088  0.00401902
          37     1.68309     1.67121  0.00392391
          38     1.63915     1.67037  0.00391033
          39     1.70507     1.67126     0.00391
          40     1.70737     1.67216  0.00391506
          41     1.65818     1.67182  0.00383439
          42     1.67955       1.672  0.00374751
          43     1.66542     1.67185  0.00366349
          44     1.67229     1.67186  0.00358024
          45     1.65985     1.67159  0.00351061
          46     1.61911     1.67045  0.00361493
          47     1.68187      1.6707  0.00354616
          48     1.66033     1.67048  0.00347886
          49     1.61405     1.66933  0.00359342
          50     1.67821     1.66951  0.00352593
