#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.10119    -5.10119           0
           2    -5.02814    -5.06467   0.0258296
           3    -5.02289    -5.05074   0.0206342
           4    -5.03956    -5.04795   0.0156639
           5     -5.0491    -5.04818   0.0125328
           6    -4.97227    -5.03553   0.0155705
           7    -5.01453    -5.03253   0.0136319
           8    -5.00977    -5.02968   0.0122212
           9    -5.00652    -5.02711    0.011131
          10    -5.04078    -5.02848   0.0101015
          11    -5.01139    -5.02692  0.00930187
          12    -5.02213    -5.02652   0.0085353
          13    -4.99977    -5.02447  0.00812301
          14    -5.00952     -5.0234  0.00761263
          15    -4.97827    -5.02039  0.00767664
          16    -5.02638    -5.02076  0.00720598
          17    -4.99359    -5.01916  0.00695714
          18    -4.99226    -5.01767  0.00672926
          19    -5.05342    -5.01955  0.00663299
          20    -5.02214    -5.01968  0.00630259
          21    -4.98877    -5.01821  0.00617193
          22    -5.05708    -5.01998  0.00613912
          23    -5.00357    -5.01926   0.0059135
          24    -4.99878    -5.01841  0.00572834
          25    -5.01577     -5.0183  0.00550018
          26    -4.99887    -5.01756  0.00533921
          27    -5.03332    -5.01814  0.00517329
          28     -5.0315    -5.01862  0.00501048
          29     -5.0163    -5.01854  0.00483834
          30    -5.02997    -5.01892  0.00469203
          31    -5.02916    -5.01925   0.0045523
          32    -5.04151    -5.01994  0.00446289
          33    -4.99894    -5.01931   0.0043728
          34    -5.00791    -5.01897  0.00425703
          35    -5.03844    -5.01953  0.00417159
          36    -5.00455    -5.01911  0.00407641
          37    -5.03252    -5.01948   0.0039823
          38    -4.99008     -5.0187  0.00395192
          39    -5.05396    -5.01961  0.00395262
          40    -5.05684    -5.02054  0.00396187
          41    -5.00543    -5.02017  0.00388234
          42    -5.02656    -5.02032  0.00379289
          43    -5.01457    -5.02019  0.00370704
          44    -5.02119    -5.02021  0.00362285
          45    -5.00648     -5.0199  0.00355516
          46    -4.96644    -5.01874  0.00366296
          47    -5.02945    -5.01897  0.00359209
          48    -5.00936    -5.01877  0.00352283
          49    -4.96074    -5.01759  0.00364458
          50    -5.02628    -5.01776  0.00357584
