#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.75024     1.75024           0
           2     2.16762     1.95893    0.147567
           3     2.08295     2.00027    0.104008
           4     2.00361      2.0011    0.078009
           5     2.06901     2.01468   0.0635787
           6      2.3485     2.07032   0.0733935
           7     2.35499     2.11099   0.0733148
           8     2.25934     2.12953   0.0664543
           9     2.24857     2.14276   0.0603723
          10        2.02     2.13048   0.0555692
          11     2.17906      2.1349   0.0506926
          12     2.14692      2.1359   0.0464781
          13     2.19012     2.14007   0.0430897
          14      2.1923      2.1438    0.040173
          15     2.35245     2.15771   0.0398301
          16     2.11629     2.15512   0.0374248
          17     2.25561     2.16103   0.0356871
          18      2.2572     2.16638   0.0341021
          19     2.14991     2.16551   0.0323182
          20     2.26249     2.17036    0.031064
          21     2.36217     2.17949   0.0308984
          22     2.13206     2.17734    0.029569
          23     2.31207     2.18319   0.0288579
          24     2.25663     2.18625   0.0278172
          25     2.29005     2.19041   0.0270126
          26     2.23205     2.19201   0.0260211
          27      2.0464     2.18661   0.0256101
          28     2.10309     2.18363   0.0248686
          29     2.17163     2.18322   0.0240145
          30     2.09071     2.18013   0.0234111
          31     2.17486     2.17996   0.0226565
          32     2.13564     2.17858   0.0219908
          33     2.27035     2.18136   0.0214995
          34     2.19523     2.18177   0.0208711
          35     2.15061     2.18088   0.0202937
          36     2.22781     2.18218   0.0197718
          37     2.15855     2.18154   0.0192478
          38     2.23836     2.18304   0.0187993
          39     1.97529     2.17771    0.019057
          40     2.01649     2.17368    0.019002
          41     2.22473     2.17493   0.0185793
          42     2.14318     2.17417   0.0181523
          43      2.1556     2.17374   0.0177353
          44     2.23996     2.17524    0.017396
          45     2.21065     2.17603   0.0170272
          46     2.37339     2.18032    0.017189
          47     2.20885     2.18093    0.016834
          48     2.36953     2.18486   0.0169357
          49     2.42199      2.1897   0.0172677
          50     2.19423     2.18979   0.0169226
