#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.16857     1.16857           0
           2     1.11994     1.14425    0.017193
           3     1.11623     1.13491   0.0137674
           4     1.12641     1.13279   0.0104885
           5     1.13389     1.13301  0.00839308
           6     1.08353     1.12476   0.0102751
           7     1.11298     1.12308   0.0089441
           8     1.10758     1.12114  0.00803318
           9     1.10684     1.11955  0.00729604
          10     1.12842     1.12044  0.00662004
          11     1.10835     1.11934   0.0061088
          12     1.11735     1.11917  0.00560198
          13     1.10252     1.11789   0.0053155
          14     1.10796     1.11718   0.0049829
          15     1.08685     1.11516  0.00504444
          16     1.11878     1.11539  0.00473423
          17     1.09727     1.11432  0.00457411
          18     1.09555     1.11328  0.00443724
          19     1.13722     1.11454    0.004379
          20     1.11576      1.1146  0.00416048
          21      1.0938     1.11361  0.00407859
          22     1.13924     1.11477  0.00405623
          23     1.10374      1.1143  0.00390813
          24     1.09991      1.1137  0.00379098
          25     1.11242     1.11364  0.00363968
          26     1.10082     1.11315  0.00353295
          27     1.12225     1.11349  0.00341813
          28     1.12089     1.11375  0.00330626
          29     1.11146     1.11367   0.0031932
          30     1.12018     1.11389  0.00309413
          31     1.12053     1.11411  0.00300173
          32     1.12741     1.11452  0.00293657
          33     1.10013     1.11408  0.00287978
          34     1.10738     1.11389  0.00280183
          35     1.12519     1.11421  0.00274033
          36     1.10383     1.11392  0.00267935
          37     1.12206     1.11414  0.00261594
          38     1.09276     1.11358  0.00260689
          39     1.13672     1.11417  0.00260667
          40     1.13824     1.11477  0.00261004
          41     1.10546     1.11455  0.00255626
          42      1.1197     1.11467  0.00249834
          43     1.11028     1.11457  0.00244233
          44     1.11486     1.11457  0.00238683
          45     1.10657      1.1144  0.00234041
          46     1.07941     1.11364  0.00240995
          47     1.12125      1.1138  0.00236411
          48     1.10688     1.11365  0.00231924
          49     1.07603     1.11289  0.00239561
          50     1.11881       1.113  0.00235062
