#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.34834    -3.34834           0
           2    -3.34823    -3.34828 4.01467e-05
           3    -3.34854    -3.34837 7.57702e-05
           4    -3.34995    -3.34876 0.000346031
           5    -3.34827    -3.34867 0.000290503
           6    -3.34697    -3.34838 0.000353383
           7    -3.34507    -3.34791 0.000533327
           8     -3.3484    -3.34797 0.000470149
           9    -3.34626    -3.34778 0.000454876
          10    -3.34816    -3.34782 0.000410929
          11    -3.34887    -3.34791 0.000384479
          12     -3.3461    -3.34776 0.000381105
          13    -3.34599    -3.34763 0.000375377
          14    -3.34757    -3.34762 0.000348584
          15      -3.348    -3.34765 0.000326238
          16    -3.34821    -3.34768  0.00030776
          17    -3.34768    -3.34768 0.000289656
          18    -3.34893    -3.34775 0.000281752
          19    -3.34759    -3.34774 0.000267053
          20     -3.3485    -3.34778 0.000256353
          21    -3.34808    -3.34779 0.000244534
          22    -3.34822    -3.34781 0.000234171
          23    -3.34796    -3.34782 0.000224071
          24    -3.34892    -3.34787 0.000219351
          25    -3.34714    -3.34784 0.000212488
          26    -3.34763    -3.34783 0.000204459
          27    -3.34995    -3.34791 0.000211428
          28    -3.35016    -3.34799 0.000218642
          29    -3.34912    -3.34803 0.000214552
          30    -3.34969    -3.34808 0.000214431
          31    -3.34836    -3.34809 0.000207706
          32     -3.3504    -3.34816 0.000213379
          33    -3.34875    -3.34818  0.00020764
          34    -3.34684    -3.34814 0.000205231
          35    -3.35066    -3.34821 0.000211561
          36    -3.34881    -3.34823 0.000206328
          37    -3.34943    -3.34826 0.000203278
          38    -3.35093    -3.34833 0.000209722
          39    -3.34888    -3.34835 0.000204817
          40    -3.34947    -3.34838 0.000201613
          41    -3.34724    -3.34835 0.000198576
          42    -3.34701    -3.34832 0.000196393
          43    -3.34916    -3.34834 0.000192799
          44     -3.3489    -3.34835 0.000188843
          45    -3.34663    -3.34831 0.000188464
          46    -3.34732    -3.34829 0.000185581
          47    -3.34758    -3.34827 0.000182248
          48    -3.34904    -3.34829 0.000179142
          49    -3.34669    -3.34826 0.000178451
          50    -3.34807    -3.34825  0.00017492
