#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20158     1.20158           0
           2     1.20795     1.20477  0.00225159
           3     1.21051     1.20668   0.0021669
           4     1.20574     1.20645  0.00163788
           5     1.21026     1.20721  0.00147724
           6     1.20888     1.20749  0.00125689
           7     1.20869     1.20766  0.00108903
           8     1.20565     1.20741 0.000981347
           9     1.21015     1.20771 0.000918485
          10     1.20812     1.20775 0.000827548
          11      1.2076     1.20774 0.000752441
          12     1.20126      1.2072 0.000862049
          13     1.20228     1.20682 0.000874758
          14     1.21182     1.20718 0.000882099
          15     1.21093     1.20743 0.000857951
          16     1.20513     1.20728 0.000816272
          17     1.20119     1.20693 0.000843328
          18      1.2121     1.20721  0.00084406
          19     1.20392     1.20704 0.000817287
          20      1.2086     1.20712 0.000780134
          21     1.20402     1.20697 0.000756836
          22     1.21495     1.20733 0.000804696
          23     1.21246     1.20756 0.000800021
          24     1.19798     1.20716 0.000860362
          25     1.20956     1.20725 0.000831314
          26     1.20826     1.20729  0.00080024
          27     1.20388     1.20717 0.000780508
          28     1.20525      1.2071 0.000755628
          29     1.20501     1.20703 0.000732995
          30     1.21031     1.20713 0.000716677
          31     1.20705     1.20713 0.000693564
          32     1.20631     1.20711 0.000672364
          33     1.20756     1.20712 0.000652127
          34     1.20604     1.20709 0.000633726
          35       1.206     1.20706 0.000616383
          36     1.20084     1.20688 0.000623012
          37     1.20967     1.20696 0.000610708
          38     1.21329     1.20713 0.000616929
          39      1.2068     1.20712 0.000601165
          40     1.20794     1.20714 0.000586484
          41     1.20466     1.20708 0.000575293
          42     1.20907     1.20713 0.000563555
          43      1.2026     1.20702 0.000560195
          44     1.20749     1.20703 0.000547565
          45      1.2111     1.20712 0.000542796
          46     1.20137       1.207 0.000545199
          47     1.20472     1.20695 0.000535738
          48     1.20419     1.20689 0.000527654
          49     1.20698     1.20689 0.000516888
          50     1.20622     1.20688 0.000506726
