#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.65064    -6.65064           0
           2    -6.65715     -6.6539  0.00230207
           3     -6.6581     -6.6553   0.0019142
           4    -6.65342    -6.65483  0.00149209
           5     -6.6584    -6.65554  0.00135413
           6    -6.65661    -6.65572  0.00114008
           7    -6.65588    -6.65574  0.00097744
           8    -6.65338    -6.65545  0.00089875
           9    -6.65709    -6.65563 0.000817248
          10     -6.6568    -6.65575 0.000743861
          11    -6.65575    -6.65575 0.000676238
          12    -6.64906    -6.65519 0.000817762
          13    -6.65058    -6.65484 0.000828205
          14    -6.65984    -6.65519 0.000842791
          15    -6.65858    -6.65542 0.000816233
          16     -6.6524    -6.65523 0.000786724
          17    -6.64831    -6.65482 0.000839087
          18    -6.66024    -6.65512 0.000844649
          19    -6.65096     -6.6549 0.000828149
          20    -6.65599    -6.65496 0.000788522
          21     -6.6512    -6.65478 0.000770972
          22    -6.66242    -6.65513 0.000810417
          23    -6.66023    -6.65535 0.000804959
          24    -6.64515    -6.65492 0.000876402
          25    -6.65722    -6.65502 0.000846129
          26    -6.65553    -6.65504 0.000813812
          27    -6.65207    -6.65493 0.000791025
          28     -6.6533    -6.65487 0.000764908
          29     -6.6533    -6.65481 0.000740453
          30    -6.65832    -6.65493 0.000724952
          31    -6.65478    -6.65493 0.000701583
          32    -6.65547    -6.65494 0.000679861
          33     -6.6557    -6.65497  0.00065965
          34    -6.65362    -6.65493 0.000641442
          35     -6.6537    -6.65489 0.000624077
          36    -6.64886    -6.65472 0.000628815
          37    -6.65806    -6.65481 0.000618268
          38    -6.66126    -6.65498 0.000624812
          39    -6.65461    -6.65497 0.000608863
          40    -6.65541    -6.65498 0.000593739
          41    -6.65172    -6.65491 0.000584571
          42     -6.6568    -6.65495 0.000572382
          43    -6.65041    -6.65484 0.000568743
          44    -6.65585    -6.65487 0.000556277
          45    -6.65876    -6.65495 0.000550592
          46    -6.64993    -6.65484  0.00054935
          47    -6.65192    -6.65478 0.000541167
          48    -6.65207    -6.65473  0.00053283
          49    -6.65515    -6.65473 0.000522026
          50    -6.65455    -6.65473 0.000511599
