#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.67748     9.67748           0
           2     9.64942     9.66345  0.00991856
           3     9.63816     9.65502  0.00954537
           4     9.63725     9.65058  0.00812695
           5     9.62488     9.64544  0.00796255
           6     9.62781      9.6425  0.00715709
           7     9.63919     9.64203  0.00615021
           8     9.64827     9.64281  0.00543072
           9     9.62612     9.64095  0.00513406
          10     9.63757     9.64062  0.00463179
          11     9.65126     9.64158  0.00431056
          12     9.67799     9.64462  0.00490421
          13     9.66986     9.64656  0.00489636
          14     9.63902     9.64602  0.00457614
          15     9.61809     9.64416  0.00463444
          16     9.65793     9.64502  0.00442394
          17     9.67831     9.64698  0.00457666
          18     9.62028     9.64549  0.00455645
          19       9.678      9.6472  0.00462664
          20     9.66068     9.64788  0.00444411
          21     9.67944     9.64938   0.0044794
          22     9.60032     9.64715  0.00479882
          23     9.61115     9.64559   0.0048387
          24     9.68936     9.64741  0.00496902
          25     9.64473      9.6473  0.00477142
          26     9.65946     9.64777  0.00461075
          27     9.65746     9.64813  0.00445392
          28     9.66249     9.64864  0.00432428
          29     9.67436     9.64953  0.00426514
          30     9.63177     9.64894  0.00416384
          31     9.65269     9.64906  0.00403129
          32     9.67014     9.64972  0.00395878
          33     9.64562     9.64959  0.00384076
          34     9.65128     9.64964  0.00372812
          35     9.65936     9.64992  0.00363193
          36     9.67326     9.65057  0.00358844
          37     9.60236     9.64927  0.00372049
          38     9.59733      9.6479  0.00386546
          39     9.64377     9.64779   0.0037678
          40     9.65594       9.648  0.00367911
          41     9.65979     9.64828  0.00360061
          42     9.63968     9.64808  0.00352071
          43      9.6659     9.64849  0.00346314
          44     9.63115      9.6481  0.00340678
          45      9.6101     9.64726  0.00343415
          46     9.65537     9.64743  0.00336402
          47     9.66672     9.64784  0.00331738
          48     9.64975     9.64788  0.00324851
          49     9.64031     9.64773  0.00318589
          50     9.65335     9.64784  0.00312415
