#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.801056    0.801056           0
           2    0.805301    0.803178  0.00150106
           3    0.807006    0.804454   0.0014446
           4    0.803828    0.804298  0.00109192
           5     0.80684    0.804806 0.000984825
           6    0.805918    0.804991 0.000837924
           7    0.805794    0.805106 0.000726017
           8    0.803769    0.804939 0.000654231
           9    0.806769    0.805142 0.000612323
          10    0.805415    0.805169 0.000551699
          11    0.805064     0.80516 0.000501628
          12    0.800839      0.8048 0.000574699
          13    0.801522    0.804548 0.000583172
          14    0.807879    0.804786 0.000588066
          15    0.807284    0.804952 0.000571967
          16     0.80342    0.804856 0.000544181
          17    0.800793    0.804617 0.000562219
          18    0.808067    0.804809 0.000562707
          19     0.80261    0.804693 0.000544858
          20    0.805733    0.804745  0.00052009
          21    0.802678    0.804647 0.000504558
          22    0.809968    0.804889 0.000536464
          23    0.808309    0.805037 0.000533347
          24    0.798657    0.804772 0.000573575
          25    0.806376    0.804836 0.000554209
          26    0.805507    0.804862 0.000533493
          27    0.802588    0.804777 0.000520339
          28      0.8035    0.804732 0.000503752
          29     0.80334    0.804684 0.000488663
          30    0.806871    0.804757 0.000477785
          31    0.804697    0.804755 0.000462376
          32    0.804208    0.804738 0.000448243
          33    0.805037    0.804747 0.000434751
          34    0.804024    0.804725 0.000422484
          35    0.803999    0.804705 0.000410922
          36    0.800557    0.804589 0.000415342
          37    0.806447     0.80464 0.000407138
          38    0.808859    0.804751 0.000411286
          39    0.804536    0.804745 0.000400777
          40     0.80529    0.804759 0.000390989
          41    0.803105    0.804718 0.000383529
          42    0.806049     0.80475 0.000375703
          43    0.801732     0.80468 0.000373464
          44    0.804993    0.804687 0.000365044
          45    0.807397    0.804747 0.000361864
          46    0.800914    0.804664 0.000363466
          47    0.803149    0.804632 0.000357159
          48    0.802792    0.804593 0.000351769
          49    0.804653    0.804595 0.000344592
          50    0.804146    0.804586 0.000337817
