#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.44906    -5.44906           0
           2     -5.4492    -5.44913 5.04733e-05
           3    -5.44759    -5.44861 0.000420093
           4    -5.44768    -5.44838 0.000374762
           5    -5.44814    -5.44833 0.000302844
           6    -5.44773    -5.44823 0.000268321
           7    -5.44719    -5.44808 0.000268243
           8    -5.44773    -5.44804 0.000238372
           9    -5.44694    -5.44792 0.000241231
          10    -5.44868    -5.44799 0.000228811
          11    -5.44815    -5.44801 0.000208465
          12     -5.4478    -5.44799 0.000191784
          13     -5.4483    -5.44801 0.000178464
          14    -5.44803    -5.44801 0.000165719
          15    -5.44765    -5.44799 0.000156442
          16    -5.44727    -5.44795 0.000152997
          17    -5.44712     -5.4479 0.000151441
          18    -5.44814    -5.44791 0.000143606
          19    -5.44704    -5.44786 0.000143114
          20    -5.44739    -5.44784 0.000137897
          21    -5.44719    -5.44781 0.000134787
          22    -5.44747    -5.44779 0.000129537
          23    -5.44777    -5.44779 0.000123911
          24    -5.44717    -5.44777  0.00012146
          25    -5.44765    -5.44776 0.000116687
          26    -5.44727    -5.44774 0.000113755
          27    -5.44819    -5.44776 0.000110754
          28    -5.44805    -5.44777 0.000107277
          29    -5.44829    -5.44779 0.000105039
          30    -5.44802     -5.4478 0.000101811
          31    -5.44773    -5.44779 9.85467e-05
          32    -5.44915    -5.44784 0.000104227
          33    -5.44815    -5.44785 0.000101497
          34    -5.44758    -5.44784 9.88114e-05
          35     -5.4477    -5.44783 9.60706e-05
          36    -5.44803    -5.44784 9.35487e-05
          37    -5.44839    -5.44785 9.22128e-05
          38    -5.44797    -5.44786 8.98347e-05
          39    -5.44781    -5.44786 8.75397e-05
          40    -5.44747    -5.44785 8.58707e-05
          41    -5.44706    -5.44783 8.58734e-05
          42    -5.44772    -5.44782 8.38657e-05
          43    -5.44781    -5.44782 8.19164e-05
          44    -5.44836    -5.44784 8.09574e-05
          45    -5.44766    -5.44783  7.9251e-05
          46    -5.44856    -5.44785 7.90825e-05
          47     -5.4472    -5.44783 7.85978e-05
          48    -5.44788    -5.44784 7.69672e-05
          49    -5.44817    -5.44784 7.56989e-05
          50    -5.44833    -5.44785 7.48004e-05
