#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0443201   0.0443201           0
           2   0.0443201   0.0443201 2.02977e-09
           3     0.04432     0.04432  3.4219e-09
           4     0.04432     0.04432 4.89498e-09
           5     0.04432     0.04432 6.46582e-09
           6     0.04432     0.04432 8.16347e-09
           7     0.04432     0.04432 9.96869e-09
           8     0.04432     0.04432 1.18789e-08
           9   0.0443199     0.04432 1.38972e-08
          10   0.0443199     0.04432 1.60109e-08
          11   0.0443199     0.04432 1.82199e-08
          12   0.0443198     0.04432 2.05208e-08
          13   0.0443198     0.04432 2.29068e-08
          14   0.0443198   0.0443199 2.53756e-08
          15   0.0443197   0.0443199 2.79273e-08
          16   0.0443197   0.0443199 3.05572e-08
          17   0.0443196   0.0443199 3.32633e-08
          18   0.0443196   0.0443199 3.60436e-08
          19   0.0443195   0.0443199 3.88958e-08
          20   0.0443195   0.0443198 4.18191e-08
          21   0.0443194   0.0443198 4.48119e-08
          22   0.0443193   0.0443198 4.78712e-08
          23   0.0443193   0.0443198  5.0997e-08
          24   0.0443192   0.0443197 5.41869e-08
          25   0.0443191   0.0443197 5.74402e-08
          26   0.0443191   0.0443197 6.07554e-08
          27    0.044319   0.0443197 6.41315e-08
          28   0.0443189   0.0443196 6.75673e-08
          29   0.0443188   0.0443196 7.10622e-08
          30   0.0443187   0.0443196 7.46146e-08
          31   0.0443186   0.0443196 7.82238e-08
          32   0.0443185   0.0443195  8.1889e-08
          33   0.0443185   0.0443195 8.56093e-08
          34   0.0443184   0.0443195 8.93836e-08
          35   0.0443183   0.0443194 9.32117e-08
          36   0.0443181   0.0443194 9.70924e-08
          37    0.044318   0.0443194 1.01025e-07
          38   0.0443179   0.0443193 1.05009e-07
          39   0.0443178   0.0443193 1.09044e-07
          40   0.0443177   0.0443192 1.13129e-07
          41   0.0443176   0.0443192 1.17263e-07
          42   0.0443175   0.0443192 1.21446e-07
          43   0.0443173   0.0443191 1.25677e-07
          44   0.0443172   0.0443191 1.29956e-07
          45   0.0443171    0.044319 1.34283e-07
          46    0.044317    0.044319 1.38655e-07
          47   0.0443168   0.0443189 1.43075e-07
          48   0.0443167   0.0443189 1.47539e-07
          49   0.0443166   0.0443188 1.52049e-07
          50   0.0443164   0.0443188 1.56604e-07
          51   0.0443163   0.0443187 1.61204e-07
          52   0.0443161   0.0443187 1.65847e-07
          53    0.044316   0.0443186 1.70533e-07
