#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        0.95        0.95           0
           2        0.95        0.95 7.45058e-09
           3        0.95        0.95 1.49012e-08
           4        0.95        0.95 2.58096e-08
           5        0.95        0.95 3.85707e-08
           6        0.95        0.95 5.30336e-08
           7    0.950001        0.95 6.87487e-08
           8    0.950001        0.95 8.56007e-08
           9    0.950001        0.95 1.03834e-07
          10    0.950001        0.95 1.23104e-07
          11    0.950001    0.950001 1.43456e-07
          12    0.950002    0.950001 1.64813e-07
          13    0.950002    0.950001 1.87168e-07
          14    0.950002    0.950001 2.10414e-07
          15    0.950003    0.950001 2.34506e-07
          16    0.950003    0.950001  2.5949e-07
          17    0.950004    0.950001 2.85271e-07
          18    0.950004    0.950001 3.11858e-07
          19    0.950005    0.950002 3.39188e-07
          20    0.950005    0.950002 3.67277e-07
          21    0.950006    0.950002 3.96094e-07
          22    0.950006    0.950002 4.25639e-07
          23    0.950007    0.950002 4.55877e-07
          24    0.950008    0.950003 4.86793e-07
          25    0.950008    0.950003 5.18376e-07
          26    0.950009    0.950003 5.50603e-07
          27     0.95001    0.950003 5.83469e-07
          28    0.950011    0.950004  6.1696e-07
          29    0.950011    0.950004 6.51063e-07
          30    0.950012    0.950004 6.85772e-07
          31    0.950013    0.950004  7.2107e-07
          32    0.950014    0.950005 7.56954e-07
          33    0.950015    0.950005 7.93406e-07
          34    0.950016    0.950005 8.30419e-07
          35    0.950017    0.950006  8.6799e-07
          36    0.950018    0.950006 9.06103e-07
          37    0.950019    0.950006 9.44762e-07
          38     0.95002    0.950007  9.8395e-07
          39    0.950021    0.950007 1.02366e-06
          40    0.950022    0.950007 1.06389e-06
          41    0.950023    0.950008 1.10462e-06
          42    0.950024    0.950008 1.14587e-06
          43    0.950025    0.950009 1.18761e-06
          44    0.950027    0.950009 1.22984e-06
          45    0.950028    0.950009 1.27256e-06
          46    0.950029     0.95001 1.31576e-06
          47    0.950031     0.95001 1.35943e-06
          48    0.950032    0.950011 1.40357e-06
          49    0.950033    0.950011 1.44818e-06
          50    0.950035    0.950012 1.49325e-06
          51    0.950036    0.950012 1.53878e-06
          52    0.950038    0.950013 1.58476e-06
          53    0.950039    0.950013 1.63118e-06
          54    0.950041    0.950014 1.67805e-06
          55    0.950042    0.950014 1.72535e-06
          56    0.950044    0.950015 1.77309e-06
          57    0.950045    0.950015 1.82126e-06
          58    0.950047    0.950016 1.86986e-06
          59    0.950049    0.950016 1.91888e-06
          60     0.95005    0.950017 1.96832e-06
          61    0.950052    0.950017 2.01818e-06
          62    0.950054    0.950018 2.06845e-06
          63    0.950055    0.950019 2.11913e-06
          64    0.950057    0.950019 2.17021e-06
          65    0.950059     0.95002  2.2217e-06
          66    0.950061     0.95002 2.27359e-06
          67    0.950063    0.950021 2.32587e-06
          68    0.950065    0.950022 2.37855e-06
          69    0.950067    0.950022 2.43162e-06
          70    0.950069    0.950023 2.48508e-06
          71    0.950071    0.950024 2.53893e-06
          72    0.950073    0.950024 2.59315e-06
          73    0.950075    0.950025 2.64776e-06
          74    0.950077    0.950026 2.70275e-06
          75    0.950079    0.950027 2.75811e-06
          76    0.950081    0.950027 2.81385e-06
          77    0.950083    0.950028 2.86996e-06
          78    0.950086    0.950029 2.92643e-06
          79    0.950088    0.950029 2.98327e-06
          80     0.95009     0.95003 3.04048e-06
          81    0.950092    0.950031 3.09805e-06
          82    0.950095    0.950032 3.15597e-06
          83    0.950097    0.950033 3.21426e-06
          84    0.950099    0.950033  3.2729e-06
          85    0.950102    0.950034  3.3319e-06
          86    0.950104    0.950035 3.39124e-06
          87    0.950107    0.950036 3.45094e-06
          88    0.950109    0.950037 3.51099e-06
          89    0.950112    0.950037 3.57138e-06
          90    0.950114    0.950038 3.63211e-06
          91    0.950117    0.950039 3.69319e-06
          92    0.950119     0.95004 3.75461e-06
          93    0.950122    0.950041 3.81637e-06
          94    0.950125    0.950042 3.87847e-06
          95    0.950127    0.950043  3.9409e-06
          96     0.95013    0.950044 4.00366e-06
          97    0.950133    0.950045 4.06676e-06
          98    0.950136    0.950045 4.13019e-06
          99    0.950138    0.950046 4.19395e-06
         100    0.950141    0.950047 4.25804e-06
         101    0.950144    0.950048 4.32246e-06
         102    0.950147    0.950049  4.3872e-06
         103     0.95015     0.95005 4.45226e-06
