#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -4.60876    -4.60876           0
           2    -4.60814    -4.60845 0.000217164
           3    -4.60714    -4.60801 0.000385014
           4    -4.60575    -4.60745 0.000569393
           5    -4.60396    -4.60675 0.000771603
           6    -4.60179    -4.60592 0.000990912
           7    -4.59924    -4.60497  0.00122637
           8    -4.59629    -4.60388   0.0014771
           9    -4.59295    -4.60267  0.00174233
          10    -4.58922    -4.60132  0.00202138
          11    -4.58511    -4.59985  0.00231367
          12     -4.5806    -4.59825   0.0026187
          13     -4.5757    -4.59651  0.00293604
          14     -4.5704    -4.59465   0.0032653
          15    -4.56471    -4.59265  0.00360614
          16    -4.55863    -4.59052  0.00395826
          17    -4.55215    -4.58827   0.0043214
          18    -4.54527    -4.58588  0.00469533
          19    -4.53799    -4.58336  0.00507984
          20    -4.53031    -4.58071  0.00547475
          21    -4.52222    -4.57792   0.0058799
          22    -4.51373      -4.575  0.00629514
          23    -4.50482    -4.57195  0.00672034
          24    -4.49551    -4.56877   0.0071554
          25    -4.48554    -4.56544  0.00760423
          26    -4.47516    -4.56196  0.00806564
          27     -4.4646    -4.55836  0.00853511
          28    -4.45361    -4.55462  0.00901292
          29     -4.4422    -4.55074  0.00949924
          30    -4.43012    -4.54672  0.00999737
          31    -4.41737    -4.54255   0.0105096
          32    -4.40442    -4.53823    0.011032
          33    -4.39128    -4.53378   0.0115616
          34    -4.37697    -4.52917   0.0121065
          35    -4.36246     -4.5244    0.012663
          36    -4.34797     -4.5195   0.0132256
          37    -4.33303    -4.51446    0.013795
          38    -4.31715    -4.50927    0.014376
          39    -4.30105    -4.50393    0.014966
          40    -4.28423    -4.49844   0.0155671
          41    -4.26743     -4.4928    0.016175
          42     -4.2499    -4.48702    0.016792
          43    -4.23141    -4.48108   0.0174219
          44    -4.21267    -4.47498   0.0180624
          45    -4.19392    -4.46873   0.0187097
          46    -4.17371    -4.46232   0.0193711
          47    -4.15347    -4.45575   0.0200425
          48    -4.13297    -4.44902   0.0207224
          49    -4.11146    -4.44213   0.0214139
          50    -4.08968    -4.43508   0.0221155
          51    -4.06761    -4.42788   0.0228255
          52    -4.04428     -4.4205   0.0235484
          53    -4.02089    -4.41296   0.0242812
          54     -3.9972    -4.40526   0.0250224
          55    -3.97272     -4.3974   0.0257738
          56    -3.94695    -4.38935    0.026539
          57    -3.92134    -4.38114   0.0273141
          58    -3.89517    -4.37276   0.0280989
          59    -3.86817    -4.36421   0.0288949
          60    -3.84035    -4.35548   0.0297032
          61    -3.81242    -4.34658   0.0305213
          62    -3.78413    -4.33751   0.0313482
          63    -3.75452    -4.32825   0.0321875
          64    -3.72453    -4.31882   0.0330379
          65    -3.69417    -4.30921   0.0338985
          66    -3.66294    -4.29942   0.0347704
          67    -3.63133    -4.28945   0.0356526
          68    -3.59907    -4.27929   0.0365453
          69    -3.56665    -4.26897   0.0374466
          70    -3.53358    -4.25846    0.038357
          71    -3.49938    -4.24777   0.0392785
          72      -3.465     -4.2369   0.0402094
          73    -3.42898    -4.22583   0.0411535
          74    -3.39278    -4.21457    0.042109
          75     -3.3559    -4.20312   0.0430758
          76    -3.31857    -4.19148   0.0440534
          77    -3.27984    -4.17964   0.0450441
          78    -3.24066    -4.16761   0.0460472
          79    -3.20054    -4.15536   0.0470633
          80    -3.16044    -4.14293   0.0480902
          81    -3.11892    -4.13029   0.0491301
          82    -3.07717    -4.11744   0.0501815
          83    -3.03447     -4.1044   0.0512451
          84    -2.99154    -4.09115   0.0523196
          85     -2.9479     -4.0777   0.0534049
          86    -2.90355    -4.06404   0.0545011
          87    -2.85801    -4.05018   0.0556097
          88    -2.81247    -4.03612   0.0567286
          89    -2.76598    -4.02185   0.0578584
          90    -2.71854    -4.00736       0.059
          91    -2.67088    -3.99268   0.0601518
          92    -2.62251    -3.97778    0.061314
          93    -2.57392    -3.96269   0.0624853
          94    -2.52488    -3.94739   0.0636651
          95    -2.47396    -3.93188   0.0648567
          96    -2.42283    -3.91616   0.0660586
          97    -2.37079    -3.90023   0.0672713
          98    -2.31857    -3.88409   0.0684936
          99    -2.26521    -3.86774   0.0697264
