#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      3.9701      3.9701           0
           2     3.97372     3.97191  0.00128022
           3     3.97954     3.97446  0.00224449
           4     3.98755     3.97773  0.00329678
           5     3.99774     3.98173   0.0044466
           6     4.01012     3.98646  0.00569032
           7     4.02466     3.99192  0.00702257
           8     4.04138      3.9981  0.00843819
           9     4.06096     4.00509  0.00998093
          10     4.08269     4.01285   0.0116143
          11     4.10868     4.02156   0.0134344
          12      4.1361      4.0311   0.0153351
          13     4.16492      4.0414   0.0172682
          14     4.19729     4.05253   0.0192936
          15     4.23246     4.06453    0.021414
          16     4.26761     4.07722   0.0235387
          17     4.30909     4.09086   0.0258048
          18     4.35052     4.10529   0.0281157
          19     4.39543     4.12056   0.0305024
          20      4.4431     4.13668   0.0329661
          21     4.49211     4.15361   0.0354759
          22     4.54455     4.17138   0.0380545
          23     4.59831     4.18994   0.0406759
          24     4.65195     4.20919   0.0432974
          25     4.70689      4.2291   0.0459148
          26     4.76452     4.24969   0.0485477
          27     4.82622     4.27104   0.0512307
          28     4.88986     4.29315   0.0539579
          29     4.95473     4.31596   0.0567153
          30     5.02222      4.3395   0.0595106
          31     5.09229     4.36378   0.0623489
          32     5.16001     4.38867   0.0651766
          33     5.22888     4.41413    0.067993
          34     5.29887     4.44015   0.0707979
          35     5.37421     4.46684   0.0736334
          36     5.44849      4.4941   0.0764705
          37     5.52595     4.52199   0.0793261
          38     5.60443     4.55048   0.0821939
          39     5.68531     4.57958   0.0850813
          40     5.76716     4.60927   0.0879821
          41     5.85065     4.63954   0.0908968
          42     5.93362     4.67035   0.0938094
          43     6.02169     4.70178   0.0967487
          44     6.10989     4.73378   0.0997023
          45     6.19887     4.76634    0.102665
          46     6.28931     4.79945    0.105637
          47     6.38116      4.8331    0.108618
          48     6.47579     4.86733    0.111616
          49     6.57174     4.90211     0.11463
          50     6.66686      4.9374    0.117646
          51      6.7632      4.9732    0.120663
          52     6.86072      5.0095    0.123682
          53     6.96007     5.04631    0.126706
          54     7.06401     5.08367    0.129752
          55     7.16473     5.12151    0.132795
          56     7.26922     5.15986    0.135849
          57     7.37389      5.1987    0.138908
          58     7.47727     5.23799    0.141959
          59      7.5807      5.2777       0.145
          60     7.68554     5.31783    0.148033
          61     7.79029     5.35836    0.151053
          62     7.89559     5.39928     0.15406
          63     8.00208      5.4406    0.157057
          64     8.10897     5.48229    0.160041
          65     8.21548     5.52434     0.16301
          66     8.32365     5.56675    0.165966
          67     8.43127     5.60951    0.168906
          68     8.53899     5.65259    0.171828
          69     8.64882     5.69601    0.174739
          70     8.75644     5.73973    0.177628
          71      8.8639     5.78373    0.180494
          72     8.97251     5.82802     0.18334
          73     9.08007     5.87257    0.186162
          74     9.18579     5.91734    0.188954
          75     9.29099     5.96233    0.191714
          76     9.39557      6.0075    0.194441
          77     9.50087     6.05287    0.197138
          78     9.60397      6.0984    0.199798
          79      9.7069     6.14407    0.202423
          80     9.80815     6.18987    0.205009
          81     9.90906     6.23579    0.207556
          82     10.0081     6.28179    0.210061
          83      10.106     6.32787    0.212523
          84     10.2032       6.374    0.214942
          85     10.2976     6.42016    0.217314
          86     10.3913     6.46634    0.219638
          87     10.4834     6.51251    0.221913
          88     10.5746     6.55867    0.224141
          89     10.6633     6.60479    0.226318
          90      10.751     6.65086    0.228444
          91     10.8362     6.69685    0.230517
          92     10.9216     6.74277     0.23254
          93     11.0028     6.78858    0.234508
          94     11.0821     6.83426     0.23642
          95     11.1593     6.87978    0.238274
          96      11.235     6.92515    0.240072
          97     11.3086     6.97034    0.241813
          98     11.3792     7.01533    0.243495
          99     11.4483     7.06011    0.245118
         100     11.5158     7.10466    0.246683
         101     11.5802     7.14897    0.248189
         102     11.6415     7.19302    0.249633
         103     11.7005     7.23678    0.251016
         104     11.7571     7.28025    0.252337
         105     11.8119      7.3234    0.253598
