#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.52524    -5.52524           0
           2    -5.52481    -5.52502 0.000153136
           3    -5.52437    -5.52481 0.000203959
           4    -5.52394    -5.52459   0.0002416
           5    -5.52351    -5.52437 0.000273036
           6    -5.52308    -5.52416 0.000300656
           7    -5.52265    -5.52394 0.000325605
           8    -5.52223    -5.52373 0.000348535
           9    -5.52148    -5.52348 0.000389344
          10    -5.52073     -5.5232 0.000436661
          11    -5.51902    -5.52282  0.00053788
          12    -5.51763    -5.52239 0.000644155
          13    -5.51657    -5.52194 0.000734131
          14    -5.51485    -5.52144 0.000838321
          15    -5.51282    -5.52086 0.000959212
          16    -5.51176    -5.52029  0.00105453
          17    -5.50876    -5.51962  0.00119086
          18    -5.50673     -5.5189  0.00132233
          19    -5.50406    -5.51812  0.00146528
          20    -5.50107    -5.51727  0.00162119
          21     -5.4984    -5.51637   0.0017756
          22    -5.49508     -5.5154  0.00194065
          23    -5.49209    -5.51439  0.00210426
          24    -5.49008    -5.51337   0.0022472
          25    -5.48838    -5.51237  0.00236926
          26    -5.48636    -5.51137  0.00248037
          27    -5.48338    -5.51034  0.00259617
          28     -5.4804    -5.50927  0.00271469
          29    -5.47775    -5.50818  0.00283034
          30    -5.47477    -5.50707  0.00294697
          31    -5.47147    -5.50592  0.00306744
          32    -5.47012     -5.5048  0.00316902
          33    -5.46909    -5.50372  0.00325248
          34    -5.46839    -5.50268  0.00331865
          35    -5.46607    -5.50163  0.00338462
          36    -5.46506    -5.50062  0.00343972
          37     -5.4634    -5.49961  0.00349076
          38    -5.46206    -5.49862  0.00353597
          39    -5.46041    -5.49764  0.00357846
          40    -5.45909    -5.49668  0.00361647
          41    -5.45777    -5.49573  0.00365063
          42    -5.45743    -5.49482  0.00367583
          43    -5.45548     -5.4939  0.00370245
          44    -5.45418      -5.493  0.00372675
          45    -5.45321    -5.49212  0.00374736
          46    -5.45225    -5.49125  0.00376479
          47     -5.4513     -5.4904  0.00377944
          48     -5.4497    -5.48955  0.00379462
          49    -5.44812    -5.48871  0.00381023
          50    -5.44751    -5.48788  0.00382206
          51    -5.44692    -5.48708   0.0038306
          52    -5.44633     -5.4863  0.00383625
          53    -5.44543    -5.48552  0.00384058
          54    -5.44292    -5.48474  0.00384963
          55    -5.44237    -5.48397  0.00385592
