#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      7.4359      7.4359           0
           2     7.45094     7.44342  0.00531839
           3     7.09436     7.32707   0.0950682
           4     7.47257     7.36344     0.07795
           5     7.29305     7.34936   0.0636187
           6     7.54968     7.38275   0.0611517
           7     6.97143     7.32399   0.0755437
           8     7.60764     7.35945   0.0739547
           9     7.13979     7.33504   0.0696484
          10     7.34301     7.33584   0.0626881
          11     7.49803     7.35058   0.0586976
          12     7.13009     7.33221   0.0566089
          13     7.33486     7.33241   0.0522548
          14     6.75577     7.29122   0.0626874
          15     7.52882     7.30706   0.0604764
          16     6.90674     7.28204   0.0616555
          17     7.50978     7.29544   0.0594663
          18     7.67176     7.31634   0.0597247
          19     7.20226     7.31034   0.0568824
          20     7.24569     7.30711     0.05413
          21     7.78131     7.32969   0.0560649
          22     7.36929     7.33149   0.0535454
          23     7.48396     7.33812   0.0516261
          24     7.32542     7.33759   0.0494777
          25     7.23363     7.33343    0.047673
          26     7.29625       7.332   0.0458609
          27     7.86715     7.35182   0.0482556
          28      7.5354     7.35838   0.0469755
          29      7.4217     7.36056   0.0454064
          30     7.14474     7.35337   0.0444591
          31     6.98063     7.34134   0.0446211
          32     7.49187     7.34605    0.043474
          33     7.36833     7.34672   0.0421618
          34     7.57333     7.35339   0.0414452
          35     7.45092     7.35617   0.0403546
          36     7.49472     7.36002   0.0394167
          37     6.86843     7.34674   0.0405288
          38     7.22083     7.34342   0.0395975
          39     7.26704     7.34146   0.0386305
          40     7.34969     7.34167   0.0376653
          41     7.60317     7.34805   0.0372828
          42     7.05323     7.34103     0.03705
          43     7.56462     7.34623   0.0365514
          44     7.37762     7.34694   0.0357276
          45     7.23984     7.34456   0.0350129
          46     6.93739     7.33571   0.0353529
          47     7.61725      7.3417   0.0351045
          48     7.30905     7.34102   0.0343798
          49     7.64066     7.34714   0.0342177
          50     7.47535      7.3497   0.0336293
