#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.101472    0.101472           0
           2    0.106524    0.103998  0.00178615
           3    0.076576   0.0948573  0.00755772
           4    0.078288    0.090715  0.00670811
           5     0.09662    0.091896  0.00546946
           6    0.093816    0.092216  0.00456723
           7    0.083408   0.0909577  0.00408443
           8    0.097284   0.0917485  0.00364962
           9    0.103435    0.093047  0.00346741
          10   0.0795813   0.0917004  0.00337201
          11    0.088596   0.0914182  0.00307725
          12    0.082784   0.0906987  0.00290371
          13   0.0950813   0.0910358  0.00269985
          14   0.0742827   0.0898391  0.00275949
          15    0.079348   0.0891397  0.00266268
          16    0.096016   0.0895695  0.00253071
          17    0.070668   0.0884576   0.0026147
          18   0.0892373    0.088501   0.0024698
          19   0.0858507   0.0883615  0.00234375
          20   0.0987587   0.0888813  0.00228349
          21   0.0783787   0.0883812  0.00222885
          22   0.0933773   0.0886083  0.00213907
          23    0.075924   0.0880568  0.00211597
          24   0.0851267   0.0879347  0.00203132
          25   0.0724413    0.087315  0.00204242
          26   0.0889373   0.0873774  0.00196482
          27    0.102868   0.0879511  0.00197403
          28   0.0893267   0.0880002  0.00190414
          29   0.0939373    0.088205  0.00184946
          30    0.106389   0.0888111  0.00188452
          31   0.0875947   0.0887719  0.00182414
          32    0.088568   0.0887655  0.00176715
          33   0.0881267   0.0887461   0.0017137
          34      0.0789   0.0884565  0.00168759
          35   0.0747533    0.088065  0.00168418
          36   0.0923787   0.0881849  0.00164165
          37    0.060564   0.0874383  0.00175884
          38    0.079028    0.087217  0.00172643
          39    0.077796   0.0869755  0.00169898
          40    0.079196    0.086781   0.0016676
          41     0.07836   0.0865756  0.00163952
          42    0.086384    0.086571  0.00160049
          43    0.095328   0.0867747  0.00157617
          44   0.0743547   0.0864924  0.00156542
          45    0.092696   0.0866303   0.0015367
          46   0.0930013   0.0867688  0.00150952
          47    0.086292   0.0867586  0.00147743
          48    0.077684   0.0865696   0.0014587
          49   0.0918813    0.086678  0.00143295
          50   0.0830667   0.0866057  0.00140611
