#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.554677   -0.554677           0
           2   -0.554032   -0.554355  0.00022816
           3   -0.555837   -0.554849 0.000431246
           4   -0.554525   -0.554768 0.000330934
           5   -0.555152   -0.554845 0.000273514
           6   -0.553971   -0.554699 0.000263892
           7   -0.553907   -0.554586 0.000249295
           8   -0.555435   -0.554692 0.000239648
           9   -0.554677    -0.55469 0.000213026
          10   -0.552792   -0.554501 0.000263044
          11   -0.555669   -0.554607 0.000259706
          12   -0.554856   -0.554628 0.000238893
          13   -0.554859   -0.554645 0.000221177
          14   -0.553709   -0.554578 0.000215246
          15   -0.556379   -0.554698 0.000231953
          16   -0.554344   -0.554676 0.000218512
          17   -0.556536   -0.554786 0.000231426
          18   -0.554064   -0.554746 0.000222015
          19   -0.555667   -0.554794 0.000215557
          20   -0.553029   -0.554706 0.000222107
          21     -0.5544   -0.554691 0.000212007
          22   -0.555371   -0.554722 0.000204607
          23   -0.553608   -0.554674 0.000201364
          24   -0.553456   -0.554623 0.000199264
          25    -0.55472   -0.554627 0.000191331
          26   -0.554027   -0.554604  0.00018536
          27   -0.556152   -0.554661 0.000187154
          28   -0.553915   -0.554634 0.000182359
          29   -0.554195   -0.554619   0.0001767
          30   -0.554936    -0.55463 0.000171125
          31   -0.555101   -0.554645 0.000166279
          32   -0.555203   -0.554663 0.000161993
          33   -0.555533   -0.554689 0.000159219
          34   -0.556411    -0.55474  0.00016239
          35   -0.554048    -0.55472 0.000158948
          36   -0.554677   -0.554719 0.000154537
          37   -0.553448   -0.554684 0.000154129
          38   -0.555653    -0.55471 0.000152168
          39   -0.554392   -0.554702 0.000148484
          40   -0.554613   -0.554699 0.000144788
          41   -0.555456   -0.554718 0.000142428
          42   -0.555155   -0.554728 0.000139416
          43   -0.556157   -0.554761 0.000140079
          44   -0.553971   -0.554744 0.000138044
          45   -0.555576   -0.554762  0.00013621
          46   -0.553693   -0.554739 0.000135216
          47   -0.555275    -0.55475 0.000132819
          48   -0.553171   -0.554717 0.000134066
          49   -0.552301   -0.554668 0.000140103
          50   -0.552995   -0.554635 0.000141242
