#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.252917    0.252917           0
           2    0.249961    0.251439  0.00104513
           3    0.246289    0.249722   0.0015652
           4    0.247368    0.249133   0.0012798
           5     0.25031    0.249369  0.00104526
           6    0.255755    0.250433   0.0013049
           7    0.249361     0.25028  0.00112744
           8    0.247345    0.249913  0.00104451
           9    0.251374    0.250075 0.000940994
          10    0.247739    0.249842 0.000875423
          11    0.251893    0.250028 0.000815455
          12    0.248376    0.249891 0.000759041
          13    0.248623    0.249793 0.000706891
          14    0.251195    0.249893 0.000663458
          15    0.250452     0.24993 0.000620273
          16    0.249376    0.249896 0.000582474
          17    0.248722    0.249827 0.000552285
          18    0.252818    0.249993  0.00054603
          19    0.249566     0.24997 0.000517754
          20    0.247623    0.249853 0.000504995
          21    0.249308    0.249827 0.000481615
          22    0.247629    0.249727 0.000469972
          23    0.249609    0.249722 0.000449566
          24     0.24719    0.249617 0.000443042
          25    0.247487    0.249531 0.000433434
          26    0.249816    0.249542 0.000416902
          27    0.248469    0.249503 0.000403351
          28    0.254272    0.249673 0.000423387
          29    0.251891    0.249749  0.00041564
          30    0.244375     0.24957 0.000438703
          31    0.247967    0.249518 0.000427589
          32    0.248434    0.249485 0.000415568
          33    0.249963    0.249499 0.000403228
          34    0.247725    0.249447 0.000394729
          35     0.25165     0.24951 0.000388437
          36    0.250985    0.249551 0.000379801
          37    0.251648    0.249608 0.000373742
          38    0.247233    0.249545 0.000369092
          39    0.247573    0.249494 0.000363073
          40    0.247598    0.249447  0.00035708
          41    0.248094    0.249414 0.000349892
          42    0.247725    0.249374 0.000343865
          43    0.246073    0.249297 0.000344329
          44     0.25069    0.249329 0.000337956
          45    0.250416    0.249353 0.000331308
          46    0.248917    0.249343 0.000324242
          47    0.251767    0.249395 0.000321417
          48    0.251909    0.249447 0.000318958
          49    0.248641    0.249431 0.000312873
          50    0.246778    0.249378 0.000311083
