#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.334131    0.334131           0
           2    0.355188     0.34466  0.00744504
           3    0.337067    0.342129  0.00537637
           4    0.340427    0.341703  0.00404908
           5    0.351131    0.343589  0.00365204
           6    0.325569    0.340585  0.00409618
           7    0.286623    0.332876  0.00795396
           8    0.313327    0.330433  0.00732549
           9    0.320173    0.329293  0.00659966
          10    0.337811    0.330145  0.00599441
          11    0.270697     0.32474   0.0074999
          12    0.342551    0.326224  0.00702023
          13    0.335671    0.326951  0.00651771
          14    0.334644    0.327501  0.00607528
          15    0.320975    0.327066  0.00568582
          16    0.330051    0.327252  0.00533352
          17    0.370364    0.329788  0.00559027
          18    0.344255    0.330592  0.00533717
          19    0.350351    0.331632  0.00515659
          20    0.326876    0.331394  0.00490424
          21    0.362847    0.332892  0.00489407
          22    0.323756    0.332477   0.0046892
          23    0.291528    0.330696  0.00481145
          24    0.344407    0.331267  0.00464477
          25    0.303224    0.330146  0.00459244
          26     0.35663    0.331164  0.00452737
          27    0.316149    0.330608  0.00439371
          28    0.335828    0.330795  0.00424074
          29    0.276762    0.328931  0.00448517
          30    0.343436    0.329415  0.00436165
          31    0.301538    0.328516  0.00431266
          32    0.314388    0.328074  0.00420043
          33    0.326089    0.328014  0.00407357
          34    0.316714    0.327682   0.0039673
          35    0.334712    0.327882  0.00385903
          36    0.302124    0.327167  0.00381759
          37    0.313568    0.326799  0.00373206
          38    0.326138    0.326782  0.00363389
          39     0.34304    0.327199  0.00356454
          40    0.365615    0.328159  0.00360249
          41    0.296035    0.327376  0.00359882
          42    0.334298    0.327541  0.00351691
          43    0.259623    0.325961  0.00377316
          44    0.321471    0.325859  0.00368879
          45    0.305541    0.325408  0.00363434
          46     0.29268    0.324696   0.0036243
          47    0.331134    0.324833  0.00354978
          48    0.282325    0.323947  0.00358459
          49     0.36176    0.324719  0.00359354
          50    0.345841    0.325142  0.00354641
