#   N_BLOCK:  ACCEPTANCE:
           1    0.151268
           2    0.151976
           3    0.150802
           4    0.150194
           5    0.150659
           6    0.150866
           7    0.150993
           8     0.15093
           9    0.151053
          10    0.151191
          11    0.151133
          12    0.150929
          13    0.150887
          14    0.151007
          15    0.151307
          16    0.151438
          17    0.151455
          18    0.151407
          19    0.151383
          20    0.151455
          21    0.151531
          22    0.151594
          23    0.151628
          24    0.151623
          25    0.151542
          26    0.151532
          27    0.151566
          28    0.151624
          29    0.151708
          30    0.151844
          31    0.151799
          32    0.151753
          33     0.15178
          34     0.15182
          35    0.151767
          36    0.151735
          37    0.151756
          38    0.151736
          39    0.151809
          40    0.151781
          41    0.151818
          42    0.151779
          43    0.151721
          44    0.151691
          45    0.151659
          46    0.151692
          47    0.151698
          48    0.151726
          49    0.151762
          50    0.151768
