#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.849392   -0.849392           0
           2   -0.847411   -0.848401 0.000700507
           3   -0.851411   -0.849404 0.000942823
           4   -0.851773   -0.849997 0.000873533
           5    -0.84776   -0.849549  0.00080526
           6   -0.848152   -0.849316 0.000703922
           7   -0.848643    -0.84922 0.000609907
           8   -0.849133   -0.849209 0.000533765
           9   -0.847485   -0.849018 0.000507668
          10   -0.847712   -0.848887 0.000473397
          11   -0.849157   -0.848912 0.000430997
          12   -0.850853   -0.849074 0.000424365
          13   -0.849613   -0.849115 0.000393748
          14   -0.846931   -0.848959 0.000395331
          15   -0.844352   -0.848652 0.000473484
          16   -0.846832   -0.848538 0.000457349
          17   -0.848197   -0.848518 0.000430885
          18   -0.849235   -0.848558 0.000408782
          19     -0.8496   -0.848613 0.000390929
          20   -0.847125   -0.848538 0.000378391
          21     -0.8464   -0.848437 0.000373823
          22   -0.847389   -0.848389 0.000359849
          23   -0.846981   -0.848328 0.000349369
          24   -0.848499   -0.848335 0.000334885
          25   -0.850795   -0.848433 0.000335632
          26   -0.848875    -0.84845 0.000323152
          27   -0.847893    -0.84843 0.000311841
          28   -0.847376   -0.848392 0.000302966
          29   -0.845912   -0.848306 0.000304349
          30   -0.844067   -0.848165 0.000325367
          31   -0.849536   -0.848209 0.000317862
          32   -0.850344   -0.848276 0.000314851
          33   -0.847357   -0.848248 0.000306538
          34   -0.846571   -0.848199 0.000301467
          35   -0.850003    -0.84825 0.000297226
          36   -0.848973   -0.848271 0.000289647
          37   -0.847691   -0.848255 0.000282243
          38    -0.84924   -0.848281 0.000276003
          39   -0.845779   -0.848217 0.000276282
          40   -0.849597   -0.848251 0.000271523
          41   -0.846283   -0.848203 0.000269112
          42   -0.850309   -0.848253 0.000267336
          43   -0.850461   -0.848305 0.000266005
          44   -0.849347   -0.848328 0.000261011
          45   -0.849792   -0.848361  0.00025723
          46    -0.84728   -0.848337 0.000252709
          47   -0.848197   -0.848334  0.00024735
          48   -0.847213   -0.848311 0.000243296
          49   -0.846571   -0.848275  0.00024091
          50   -0.847755   -0.848265 0.000236317
