#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.135164    0.135164           0
           2    0.134176     0.13467 0.000349311
           3    0.148168    0.139169  0.00368106
           4    0.146051     0.14089  0.00313714
           5    0.149671    0.142646  0.00296075
           6    0.138347    0.141929  0.00255253
           7    0.148157    0.142819   0.0023378
           8    0.147613    0.143418    0.002121
           9    0.140328    0.143075  0.00191293
          10    0.141893    0.142957  0.00172528
          11    0.156073    0.144149  0.00193716
          12    0.143972    0.144134  0.00177578
          13    0.146969    0.144353  0.00165252
          14    0.154859    0.145103  0.00169634
          15    0.151936    0.145558  0.00164328
          16    0.140427    0.145238  0.00157156
          17    0.139269    0.144887  0.00151783
          18    0.146572     0.14498  0.00143639
          19    0.132687    0.144333  0.00149945
          20    0.135425    0.143888  0.00148916
          21    0.146083    0.143992  0.00142191
          22    0.128435    0.143285  0.00152301
          23    0.145081    0.143363   0.0014588
          24    0.143467    0.143368  0.00139802
          25    0.140972    0.143272  0.00134538
          26    0.158864    0.143871  0.00142102
          27    0.129551    0.143341  0.00146403
          28     0.15676     0.14382  0.00148812
          29    0.142111    0.143761  0.00143797
          30    0.138643    0.143591  0.00140013
          31    0.147527    0.143718  0.00136071
          32    0.142613    0.143683  0.00131862
          33    0.144688    0.143714  0.00127901
          34    0.134073     0.14343  0.00127244
          35    0.164504    0.144032  0.00137116
          36    0.173115     0.14484  0.00155292
          37    0.175803    0.145677  0.00172172
          38    0.149831    0.145786  0.00167988
          39    0.162641    0.146218  0.00169149
          40    0.152905    0.146386  0.00165744
          41    0.159189    0.146698  0.00164617
          42    0.144693     0.14665  0.00160767
          43    0.142471    0.146553  0.00157322
          44    0.138324    0.146366  0.00154854
          45    0.149748    0.146441  0.00151595
          46    0.149125    0.146499  0.00148412
          47    0.132197    0.146195  0.00148341
          48    0.130445    0.145867  0.00148835
          49     0.13658    0.145677  0.00146999
          50    0.150633    0.145777  0.00144393
