#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.69865     5.69865           0
           2     5.81822     5.75844   0.0422764
           3      5.3709     5.62926    0.109174
           4     5.48951     5.59432   0.0872915
           5     5.63184     5.60182    0.070155
           6     5.66134     5.61174   0.0591596
           7     5.62482     5.61361   0.0507377
           8     5.47137     5.59583   0.0474088
           9     5.65223      5.6021   0.0425533
          10     5.58269     5.60016   0.0383422
          11     5.47557     5.58883   0.0364912
          12      5.6002     5.58978   0.0334626
          13     5.89073     5.61293   0.0380633
          14     5.41994     5.59914   0.0377582
          15     5.60597      5.5996   0.0352438
          16      5.4053     5.58746   0.0350708
          17     5.69773     5.59394   0.0336023
          18     5.72483     5.60121   0.0325128
          19     5.59721       5.601   0.0308023
          20     5.63572     5.60274    0.029311
          21     5.57746     5.60154     0.02794
          22      5.6131     5.60206   0.0266749
          23     5.76107     5.60897   0.0263959
          24     5.39711     5.60015   0.0267314
          25     5.62575     5.60117   0.0256818
          26     5.41234     5.59391   0.0257004
          27     5.52928     5.59151   0.0248598
          28     5.31351     5.58159   0.0258788
          29     5.67982     5.58497   0.0252072
          30     5.76877      5.5911   0.0251004
          31     5.53561     5.58931   0.0243545
          32     5.51628     5.58703   0.0237001
          33     5.69125     5.59019   0.0231914
          34     5.75809     5.59512   0.0230291
          35     5.57956     5.59468   0.0223754
          36     5.49545     5.59192    0.021923
          37     5.60538     5.59229   0.0213335
          38     5.82456      5.5984     0.02163
          39     5.51189     5.59618   0.0211888
          40     5.70113     5.59881   0.0208209
          41     5.32381      5.5921   0.0213661
          42     5.67346     5.59404    0.020945
          43     5.68913     5.59625   0.0205744
          44     5.67496     5.59804   0.0201844
          45     5.54982     5.59696   0.0197643
          46      5.6556     5.59824   0.0193757
          47       5.553     5.59728   0.0189873
          48     5.54377     5.59616   0.0186244
          49     5.75517     5.59941   0.0185249
          50     5.69801     5.60138   0.0182591
