# DISTANCE:     AVE_GOFR:        ERROR:
    0.064633           0           0
    0.129266           0           0
    0.193899           0           0
    0.258532           0           0
    0.323165           0           0
    0.387798           0           0
    0.452431           0           0
    0.517064           0           0
    0.581697           0           0
     0.64633           0           0
    0.710963           0           0
    0.775596           0           0
     0.84023           0           0
    0.904863  0.00216424 0.000502588
    0.969496    0.194194  0.00552926
     1.03413     1.05318   0.0213568
     1.09876     1.83471   0.0313853
     1.16339     2.02204   0.0350684
     1.22803     1.92018   0.0351965
     1.29266     1.67772   0.0264719
     1.35729     1.50543   0.0256176
     1.42193     1.40251    0.024076
     1.48656     1.28841   0.0220759
     1.55119     1.19518   0.0174044
     1.61583     1.14258   0.0162694
     1.68046     1.11085   0.0146027
     1.74509     1.08986   0.0149981
     1.80973      1.0666    0.014555
     1.87436     1.04126   0.0146204
     1.93899     1.05283   0.0144124
     2.00362     1.04586   0.0141368
     2.06826     1.03177   0.0139166
     2.13289     1.03589   0.0131286
     2.19752     1.02923   0.0116502
     2.26216     1.03536    0.010398
     2.32679     1.03176   0.0095677
     2.39142     1.02765  0.00974729
     2.45606     1.01089  0.00878093
     2.52069     1.00917   0.0085398
     2.58532     1.01258   0.0078996
     2.64995     1.01869  0.00806641
     2.71459    0.995638  0.00763573
     2.77922      1.0068  0.00782294
     2.84385     1.00484  0.00873145
     2.90849     1.00992  0.00867515
     2.97312     1.00792  0.00895983
     3.03775     1.01723   0.0128149
     3.10239     1.01339   0.0172411
     3.16702      1.0094  0.00995114
     3.23165     1.00747  0.00770783
     3.29629    0.998228  0.00711112
     3.36092     0.98519  0.00623605
     3.42555    0.989124  0.00643492
     3.49018    0.989439  0.00606489
     3.55482    0.992089  0.00637486
     3.61945    0.997381  0.00627181
     3.68408     1.00155  0.00653989
     3.74872    0.993554   0.0067179
     3.81335    0.983642     0.00674
     3.87798    0.980622  0.00593109
     3.94262    0.975458  0.00583114
     4.00725    0.974952  0.00579702
     4.07188    0.978465  0.00573445
     4.13651     0.98108  0.00577108
     4.20115    0.981041  0.00561206
     4.26578    0.975551  0.00458898
     4.33041     0.97588  0.00527194
     4.39505    0.986653  0.00483046
     4.45968    0.982202  0.00561369
     4.52431    0.986613  0.00528526
     4.58895    0.989624  0.00529691
     4.65358    0.982581  0.00544183
     4.71821    0.986841  0.00528784
     4.78285    0.991715  0.00543072
     4.84748     0.98725  0.00476987
     4.91211     0.97917  0.00471109
     4.97674    0.983083  0.00458663
     5.04138    0.980876  0.00402817
     5.10601    0.986578  0.00447958
     5.17064    0.989343  0.00475941
     5.23528    0.988391  0.00623955
     5.29991     1.00203   0.0117008
     5.36454    0.990953  0.00669175
     5.42918     0.98982  0.00497138
     5.49381    0.989754  0.00436896
     5.55844    0.986366  0.00376949
     5.62307    0.988469  0.00400595
     5.68771    0.991961  0.00412526
     5.75234    0.991711  0.00417975
     5.81697    0.991152  0.00422101
     5.88161    0.988438  0.00406067
     5.94624    0.986953  0.00364287
     6.01087    0.988048  0.00359072
     6.07551    0.986447  0.00382111
     6.14014    0.987389  0.00417888
     6.20477    0.986365  0.00355412
      6.2694    0.985954  0.00307241
     6.33404     0.98715  0.00382519
     6.39867    0.988697  0.00370572
      6.4633    0.989372  0.00347154
