#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.112319   -0.112319           0
           2   -0.287169   -0.199744   0.0618187
           3   -0.336975   -0.245488   0.0556189
           4   -0.307602   -0.261016   0.0438283
           5   -0.400818   -0.288976   0.0430676
           6    -0.41266    -0.30959   0.0405238
           7   -0.384423   -0.320281   0.0361172
           8   -0.369203   -0.326396   0.0321161
           9   -0.409901   -0.335674   0.0298578
          10   -0.394602   -0.341567   0.0274474
          11   -0.397682   -0.346668   0.0254218
          12   -0.418654   -0.352667   0.0240007
          13   -0.382876   -0.354991   0.0222667
          14   -0.360837   -0.355408   0.0206801
          15    -0.39084   -0.357771   0.0194359
          16    -0.42452   -0.361942   0.0186635
          17   -0.420911   -0.365411   0.0178851
          18   -0.383782   -0.366432   0.0169206
          19   -0.400743   -0.368238   0.0161261
          20   -0.350987   -0.367375   0.0153428
          21   -0.344442   -0.366283    0.014651
          22    -0.37624   -0.366736   0.0139921
          23   -0.403049   -0.368314   0.0134725
          24   -0.377306   -0.368689   0.0129163
          25   -0.365128   -0.368547   0.0124005
          26   -0.408388   -0.370079   0.0120178
          27   -0.438912   -0.372628   0.0118401
          28   -0.337975   -0.371391   0.0114817
          29   -0.308866   -0.369235   0.0112864
          30   -0.388208   -0.369867   0.0109279
          31    -0.38401   -0.370323   0.0105849
          32   -0.425556   -0.372049   0.0103939
          33   -0.444023    -0.37423   0.0103052
          34    -0.45108   -0.376491    0.010247
          35   -0.400057   -0.377164  0.00997631
          36   -0.437864    -0.37885  0.00984065
          37   -0.416727   -0.379874  0.00962778
          38   -0.386474   -0.380047  0.00937599
          39   -0.407646   -0.380755  0.00916225
          40   -0.414999   -0.381611   0.0089731
          41   -0.447104   -0.383209  0.00889529
          42   -0.408203   -0.383804  0.00870338
          43   -0.424947   -0.384761  0.00855341
          44   -0.408863   -0.385308  0.00837653
          45   -0.407638   -0.385805  0.00820507
          46    -0.44012   -0.386985  0.00811122
          47   -0.415208   -0.387586  0.00796084
          48   -0.368727   -0.387193  0.00780467
          49   -0.413885   -0.387738  0.00766438
          50   -0.458851    -0.38916  0.00764192
          51     -0.4328   -0.390016  0.00753983
          52   -0.419187   -0.390577  0.00741568
          53   -0.359541   -0.389991  0.00729884
          54   -0.411236   -0.390384  0.00717427
          55   -0.339569   -0.389461  0.00710307
          56   -0.334931   -0.388487  0.00704266
          57   -0.369671   -0.388157  0.00692684
          58   -0.374271   -0.387917  0.00681155
          59   -0.334955    -0.38702  0.00675499
          60    -0.38532   -0.386991  0.00664246
          61    -0.35396    -0.38645   0.0065556
          62   -0.361897   -0.386054  0.00646182
          63   -0.427708   -0.386715  0.00639299
          64   -0.402573   -0.386963   0.0062979
          65   -0.397922   -0.387131  0.00620326
          66   -0.365467   -0.386803  0.00611795
          67   -0.325758   -0.385892  0.00609411
          68    -0.34894   -0.385349  0.00602867
          69   -0.381276    -0.38529  0.00594158
          70    -0.36028   -0.384932  0.00586744
          71   -0.348523   -0.384419  0.00580716
          72   -0.389698   -0.384493  0.00572697
          73   -0.454623   -0.385453  0.00572853
          74   -0.388115   -0.385489  0.00565123
          75   -0.383458   -0.385462  0.00557594
          76   -0.438874   -0.386165  0.00554669
          77    -0.37587   -0.386031  0.00547627
          78   -0.378397   -0.385934  0.00540693
          79   -0.397086   -0.386075  0.00534033
          80   -0.369721    -0.38587  0.00527749
          81   -0.357873   -0.385525  0.00522364
          82   -0.372795   -0.385369  0.00516225
          83   -0.419253   -0.385778  0.00511617
          84   -0.421885   -0.386208  0.00507328
          85   -0.391815   -0.386274  0.00501403
          86   -0.387081   -0.386283  0.00495573
          87   -0.410574   -0.386562  0.00490663
          88   -0.392302   -0.386627  0.00485131
          89   -0.359061   -0.386318  0.00480668
          90   -0.403973   -0.386514  0.00475727
          91   -0.383888   -0.386485  0.00470508
          92   -0.378572   -0.386399  0.00465472
          93     -0.3679     -0.3862  0.00460892
          94   -0.362674    -0.38595  0.00456668
          95   -0.413429   -0.386239  0.00452776
          96   -0.380248   -0.386177  0.00448103
          97   -0.360937   -0.385916  0.00444238
          98   -0.382272   -0.385879   0.0043972
          99    -0.43215   -0.386347  0.00437756
         100   -0.366957   -0.386153  0.00433807
