#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   -0.024416   -0.024416           0
           2   -0.028683  -0.0265495  0.00150861
           3  -0.0282708  -0.0271233  0.00110949
           4  -0.0263317  -0.0269254 0.000849583
           5  -0.0288495  -0.0273102 0.000761849
           6  -0.0298767   -0.027738 0.000745341
           7  -0.0250944  -0.0273603 0.000728281
           8   -0.029297  -0.0276024 0.000676287
           9  -0.0309852  -0.0279783 0.000697821
          10  -0.0284542  -0.0280259 0.000629659
          11  -0.0300799  -0.0282126 0.000599467
          12  -0.0277736   -0.028176 0.000550627
          13  -0.0301473  -0.0283276 0.000528738
          14  -0.0283346  -0.0283281 0.000490971
          15  -0.0287853  -0.0283586 0.000459185
          16  -0.0261307  -0.0282194 0.000451104
          17  -0.0279369  -0.0282028 0.000424874
          18  -0.0301534  -0.0283111  0.00041486
          19   -0.027199  -0.0282526 0.000397133
          20  -0.0267608   -0.028178 0.000384217
          21  -0.0316928  -0.0283454  0.00040072
          22  -0.0297603  -0.0284097 0.000387632
          23  -0.0271971   -0.028357 0.000374347
          24  -0.0275907   -0.028325 0.000360108
          25  -0.0273751   -0.028287 0.000347703
          26  -0.0284855  -0.0282947 0.000334413
          27  -0.0301907  -0.0283649 0.000329318
          28  -0.0268684  -0.0283114 0.000321865
          29  -0.0284744  -0.0283171 0.000310815
          30  -0.0256048  -0.0282267 0.000313328
          31  -0.0294653  -0.0282666 0.000305757
          32  -0.0303167  -0.0283307  0.00030284
          33  -0.0267873  -0.0282839 0.000297252
          34  -0.0284366  -0.0282884 0.000288544
          35  -0.0332898  -0.0284313 0.000313694
          36  -0.0305589  -0.0284904 0.000310498
          37  -0.0280682   -0.028479 0.000302316
          38  -0.0327239  -0.0285907 0.000314322
          39  -0.0298803  -0.0286238 0.000307997
          40  -0.0287544   -0.028627 0.000300314
          41  -0.0254501  -0.0285495 0.000302821
          42  -0.0310395  -0.0286088 0.000301358
          43  -0.0286973  -0.0286109 0.000294357
          44   -0.031026  -0.0286658  0.00029274
          45  -0.0288365  -0.0286696 0.000286259
          46  -0.0311137  -0.0287227 0.000284924
          47  -0.0291392  -0.0287316    0.000279
          48  -0.0277462   -0.028711 0.000273942
          49  -0.0306577  -0.0287508 0.000271216
          50  -0.0322665  -0.0288211 0.000274756
          51  -0.0343506  -0.0289295 0.000289973
          52  -0.0292964  -0.0289366 0.000284482
          53   -0.034971  -0.0290504 0.000301038
          54  -0.0283777   -0.029038 0.000295721
          55  -0.0273211  -0.0290067 0.000291987
          56  -0.0249077  -0.0289335 0.000295805
          57  -0.0285732  -0.0289272 0.000290683
          58  -0.0278904  -0.0289093 0.000286221
          59   -0.030008   -0.028928 0.000281975
          60  -0.0300115   -0.028946 0.000277853
          61  -0.0309319  -0.0289786 0.000275198
          62  -0.0296858    -0.02899 0.000270996
          63  -0.0281985  -0.0289774 0.000266985
          64  -0.0320869   -0.029026 0.000267198
          65  -0.0303215  -0.0290459  0.00026383
          66  -0.0295938  -0.0290542 0.000259963
          67  -0.0304565  -0.0290752 0.000256924
          68  -0.0284478  -0.0290659 0.000253311
          69  -0.0291786  -0.0290676 0.000249645
          70  -0.0294916  -0.0290736 0.000246152
          71  -0.0298408  -0.0290844 0.000242922
          72  -0.0322242   -0.029128 0.000243431
          73  -0.0319964  -0.0291673 0.000243247
          74  -0.0281078   -0.029153 0.000240381
          75  -0.0284194  -0.0291432 0.000237374
          76  -0.0250121  -0.0290889 0.000240394
          77   -0.027608  -0.0290697  0.00023804
          78   -0.032285  -0.0291109 0.000238531
          79   -0.028387  -0.0291017 0.000235688
          80  -0.0298935  -0.0291116 0.000232949
          81  -0.0301109  -0.0291239   0.0002304
          82  -0.0309713  -0.0291465 0.000228689
          83  -0.0307911  -0.0291663  0.00022679
          84  -0.0312877  -0.0291915 0.000225492
          85  -0.0278597  -0.0291759 0.000223383
          86  -0.0290634  -0.0291746 0.000220789
          87  -0.0287354  -0.0291695 0.000218309
          88   -0.030873  -0.0291889 0.000216685
          89  -0.0319435  -0.0292198  0.00021645
          90  -0.0271962  -0.0291973 0.000215209
          91  -0.0297252  -0.0292031 0.000212922
          92  -0.0269619  -0.0291788 0.000211997
          93   -0.030562  -0.0291937 0.000210239
          94  -0.0303502   -0.029206 0.000208362
          95  -0.0329837  -0.0292457 0.000209929
          96  -0.0249839  -0.0292013 0.000212384
          97  -0.0296648  -0.0292061 0.000210248
          98  -0.0267966  -0.0291815 0.000209536
          99  -0.0287306   -0.029177 0.000207469
         100  -0.0277237  -0.0291624 0.000205902
