# DISTANCE:     AVE_GOFR:        ERROR:
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438           0           0
    0.872088           0           0
    0.897737 1.10046e-05 1.09495e-05
    0.923387 0.000108698 3.26119e-05
    0.949037    0.008264 0.000347432
    0.974686   0.0987076  0.00137406
     1.00034    0.458612  0.00304242
     1.02599     1.18733  0.00524804
     1.05164     2.05273   0.0081553
     1.07728     2.71238  0.00916509
     1.10293     2.99545  0.00969897
     1.12858     2.96548  0.00854179
     1.15423     2.73401  0.00760759
     1.17988     2.41531  0.00723043
     1.20553     2.08939  0.00911527
     1.23118     1.79227  0.00900037
     1.25683     1.54145  0.00766694
     1.28248     1.32281  0.00675365
     1.30813     1.16496  0.00611168
     1.33378     1.02885  0.00514943
     1.35943    0.920685  0.00477092
     1.38508    0.829032  0.00439771
     1.41073    0.758351  0.00406924
     1.43638    0.705606  0.00334042
     1.46203    0.665228   0.0030413
     1.48768    0.634154   0.0034501
     1.51333    0.608734  0.00353602
     1.53898    0.592839  0.00321191
     1.56463    0.585615  0.00410909
     1.59028    0.582034  0.00404257
     1.61593    0.586921   0.0034098
     1.64158     0.60769     0.00337
     1.66723    0.623743  0.00371898
     1.69288    0.646523  0.00377495
     1.71853    0.683142  0.00337538
     1.74418    0.719488  0.00353991
     1.76983    0.763424  0.00346391
     1.79547    0.813785  0.00305527
     1.82112    0.865357   0.0036406
     1.84677    0.918057  0.00363658
     1.87242    0.978212  0.00430117
     1.89807      1.0308  0.00438481
     1.92372     1.07512  0.00412979
     1.94937     1.11735  0.00369393
     1.97502     1.16066  0.00327166
     2.00067     1.18993  0.00322464
     2.02632     1.21969  0.00310737
     2.05197     1.24495  0.00353771
     2.07762     1.25777  0.00374138
     2.10327     1.27335  0.00523677
     2.12892     1.27644  0.00381492
     2.15457     1.26818  0.00327094
     2.18022     1.25084  0.00303114
     2.20587     1.22406  0.00283627
     2.23152     1.19547  0.00326947
     2.25717     1.15396  0.00369828
     2.28282     1.10867   0.0032082
     2.30847     1.06985  0.00340841
     2.33412       1.028  0.00307085
     2.35977    0.991633    0.002967
     2.38542    0.956784  0.00272492
     2.41107    0.923469  0.00278479
     2.43672    0.902879  0.00312644
     2.46237     0.87992    0.002677
     2.48802    0.857002  0.00261341
     2.51366    0.846797  0.00251552
     2.53931    0.837763  0.00268233
     2.56496    0.837361  0.00258412
