#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.03996    -6.03996           0
           2    -5.98992    -6.01494   0.0176902
           3    -5.95144    -5.99377   0.0209226
           4    -5.96925    -5.98764   0.0165659
           5    -5.95283    -5.98068    0.014643
           6    -5.95491    -5.97638    0.012817
           7    -5.98333    -5.97738   0.0110244
           8    -5.98253    -5.97802  0.00966516
           9    -5.97271    -5.97743  0.00860927
          10    -5.96867    -5.97655  0.00779279
          11     -5.9692    -5.97589  0.00711302
          12    -5.97273    -5.97562  0.00652514
          13     -5.9483    -5.97352  0.00635269
          14    -5.96784    -5.97311  0.00591188
          15    -5.98827    -5.97413  0.00560341
          16    -5.97091    -5.97392  0.00525679
          17     -5.9755    -5.97402  0.00494838
          18    -5.95209     -5.9728   0.0048211
          19    -5.94869    -5.97153  0.00473134
          20    -5.95846    -5.97088  0.00453971
          21    -5.98726    -5.97166  0.00439007
          22    -5.95467    -5.97088   0.0042579
          23    -5.97759    -5.97118  0.00408273
          24    -5.96967    -5.97111   0.0039131
          25    -5.97742    -5.97137  0.00376471
          26    -5.96104    -5.97097   0.0036408
          27     -5.9906     -5.9717  0.00357784
          28    -5.97051    -5.97165  0.00345031
          29    -5.98146    -5.97199  0.00334785
          30    -5.97561    -5.97211  0.00323843
          31    -5.99283    -5.97278  0.00320221
          32    -5.95281    -5.97216  0.00316239
          33    -5.97207    -5.97215  0.00306656
          34    -5.98928    -5.97266  0.00301744
          35    -5.99875     -5.9734  0.00302193
          36    -5.96591    -5.97319  0.00294515
          37     -5.9675    -5.97304  0.00286957
          38    -5.96156    -5.97274  0.00280993
          39    -5.97199    -5.97272  0.00273794
          40    -5.97518    -5.97278  0.00267019
          41    -5.98269    -5.97302  0.00261597
          42    -5.97814    -5.97314  0.00255652
          43    -5.96007    -5.97284  0.00251507
          44    -5.98382    -5.97309  0.00247027
          45    -5.96451     -5.9729  0.00242272
          46    -5.94723    -5.97234  0.00243347
          47    -5.96839    -5.97226  0.00238315
          48    -5.98147    -5.97245   0.0023412
          49    -5.97311    -5.97246  0.00229346
          50    -5.97311    -5.97248  0.00224763
          51     -5.9628    -5.97229  0.00221155
          52    -5.96612    -5.97217  0.00217219
          53    -5.97468    -5.97221  0.00213172
          54    -5.98702    -5.97249   0.0021098
          55    -5.98887    -5.97279  0.00209236
          56    -6.00199    -5.97331    0.002119
          57    -5.96381    -5.97314  0.00208838
          58    -5.99881    -5.97358  0.00209873
          59    -5.99884    -5.97401  0.00210638
          60    -5.96894    -5.97393  0.00207297
          61     -5.9649    -5.97378  0.00204426
          62     -5.9453    -5.97332  0.00206224
          63    -5.95084    -5.97296  0.00206015
          64    -5.95833    -5.97274   0.0020406
          65    -5.93296    -5.97212  0.00209897
          66    -5.95512    -5.97187  0.00208292
          67    -5.97914    -5.97197  0.00205466
          68    -5.97293    -5.97199  0.00202449
          69    -5.94787    -5.97164   0.0020251
          70    -5.97606     -5.9717  0.00199715
          71    -5.97672    -5.97177  0.00197027
          72    -5.94805    -5.97144  0.00197026
          73    -5.98102    -5.97157  0.00194764
          74    -5.97836    -5.97167  0.00192348
          75    -5.97109    -5.97166  0.00189785
          76    -5.99674    -5.97199  0.00190135
          77    -5.98578    -5.97217  0.00188508
          78    -5.99139    -5.97241  0.00187695
          79    -5.97484    -5.97244  0.00185344
          80    -5.94573    -5.97211  0.00186011
          81    -5.94043    -5.97172  0.00187782
          82    -5.96508    -5.97164  0.00185667
          83    -5.95252    -5.97141  0.00184853
          84    -5.94941    -5.97115  0.00184498
          85    -5.97477    -5.97119  0.00182377
          86    -5.97102    -5.97119  0.00180256
          87    -5.95241    -5.97097  0.00179472
          88     -5.9682    -5.97094   0.0017746
          89    -5.94236    -5.97062  0.00178348
          90    -5.95794    -5.97048  0.00176921
          91    -5.96034    -5.97037  0.00175328
          92    -5.95887    -5.97024  0.00173867
          93    -5.97669    -5.97031  0.00172135
          94    -5.98424    -5.97046  0.00170941
          95    -5.97639    -5.97052  0.00169255
          96    -5.96751    -5.97049  0.00167521
          97    -5.95036    -5.97028  0.00167075
          98    -5.98268    -5.97041  0.00165849
          99    -5.99309    -5.97064  0.00165749
         100    -5.94307    -5.97036  0.00166368
