#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -4.29113    -4.29113           0
           2    -3.97033    -4.13073    0.113418
           3    -3.69091    -3.98412    0.141585
           4    -3.81505    -3.94185    0.112321
           5    -3.74458     -3.9024   0.0965383
           6    -3.63028    -3.85705   0.0904766
           7    -3.78988    -3.84745   0.0780585
           8    -3.82307     -3.8444   0.0683607
           9    -3.78736    -3.83806   0.0610582
          10    -3.69734    -3.82399   0.0565508
          11    -3.85175    -3.82651   0.0514661
          12    -3.82963    -3.82677   0.0471779
          13    -3.65841    -3.81382   0.0452917
          14    -3.66722    -3.80335   0.0432502
          15    -3.79312    -3.80267   0.0403722
          16    -3.62125    -3.79133    0.039409
          17    -3.77019    -3.79009   0.0371104
          18    -3.58956    -3.77895   0.0366828
          19    -3.60149    -3.76961   0.0359215
          20    -3.67558    -3.76491   0.0344317
          21    -3.79906    -3.76653   0.0328305
          22    -3.51324    -3.75502   0.0332958
          23    -3.72477     -3.7537   0.0318741
          24    -3.84145    -3.75736    0.030755
          25    -3.68293    -3.75438   0.0296685
          26    -3.66537    -3.75096   0.0287243
          27    -3.91064    -3.75687   0.0282627
          28    -3.82771     -3.7594   0.0273663
          29    -3.83025    -3.76185   0.0265315
          30    -3.76848    -3.76207    0.025648
          31    -3.82339    -3.76405   0.0248968
          32    -3.57741    -3.75821   0.0247925
          33    -3.71053    -3.75677   0.0240833
          34    -3.87808    -3.76034   0.0236378
          35    -3.86233    -3.76325   0.0231413
          36     -3.7901      -3.764   0.0225105
          37    -3.72732      -3.763    0.021924
          38    -3.70184     -3.7614    0.021406
          39      -3.724    -3.76044   0.0208786
          40    -3.70765    -3.75912   0.0203983
          41    -3.74362    -3.75874   0.0199043
          42    -3.68553      -3.757   0.0195065
          43    -3.64811    -3.75446   0.0192166
          44    -3.81845    -3.75592   0.0188348
          45    -3.73648    -3.75549   0.0184212
          46    -3.57104    -3.75148    0.018452
          47    -3.70298    -3.75044   0.0180882
          48    -3.78719    -3.75121   0.0177276
          49    -3.67324    -3.74962    0.017437
          50    -3.71505    -3.74893    0.017102
          51    -3.77513    -3.74944   0.0167744
          52    -3.74773    -3.74941   0.0164518
          53    -3.80775    -3.75051   0.0161782
          54    -3.76271    -3.75073   0.0158802
          55    -3.84848    -3.75251   0.0156906
          56    -3.86755    -3.75457   0.0155443
          57    -3.70298    -3.75366   0.0152979
          58     -3.8243    -3.75488   0.0150825
          59     -3.9176    -3.75764    0.015077
          60    -3.79219    -3.75821   0.0148367
          61    -3.76871    -3.75838   0.0145944
          62    -3.63724    -3.75643   0.0144893
          63    -3.58604    -3.75373   0.0145095
          64    -3.69656    -3.75283   0.0143103
          65    -3.49526    -3.74887   0.0146285
          66    -3.56592     -3.7461   0.0146671
          67    -3.76272    -3.74635   0.0144503
          68    -3.81456    -3.74735   0.0142726
          69    -3.62221    -3.74554   0.0141805
          70    -3.71994    -3.74517   0.0139826
          71    -3.69879    -3.74452   0.0138009
          72    -3.55526    -3.74189   0.0138573
          73    -3.83834    -3.74321   0.0137303
          74    -3.79642    -3.74393   0.0135636
          75    -3.77872    -3.74439   0.0133907
          76    -3.83423    -3.74557   0.0132666
          77    -3.72335    -3.74529   0.0130974
          78    -3.73373    -3.74514   0.0129303
          79    -3.81851    -3.74607      0.0128
          80     -3.6448     -3.7448   0.0127024
          81    -3.54182    -3.74229   0.0127904
          82    -3.63892    -3.74103   0.0126964
          83    -3.65076    -3.73995   0.0125899
          84    -3.68449    -3.73929   0.0124573
          85    -3.58273    -3.73744   0.0124462
          86    -3.57862     -3.7356   0.0124377
          87    -3.63591    -3.73445   0.0123474
          88    -3.61423    -3.73309   0.0122825
          89    -3.46061    -3.73002   0.0125202
          90    -3.44066    -3.72681   0.0127873
          91     -3.6572    -3.72604   0.0126696
          92    -3.73537    -3.72615   0.0125323
          93    -3.77638    -3.72669   0.0124092
          94    -3.61451    -3.72549   0.0123344
          95    -3.64861    -3.72468   0.0122311
          96    -3.83948    -3.72588    0.012162
          97    -3.66882    -3.72529   0.0120508
          98    -3.74103    -3.72545   0.0119289
          99    -3.93365    -3.72755   0.0119924
         100    -3.55239     -3.7258   0.0119997
