# DISTANCE:     AVE_GOFR:        ERROR:
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391           0           0
    0.853458           0           0
    0.876524           0           0
    0.899591           0           0
    0.922657           0           0
    0.945724 0.000653162 9.19469e-05
     0.96879   0.0187529 0.000639007
    0.991856     0.22185  0.00168781
     1.01492     1.11481  0.00327841
     1.03799     3.03806  0.00636022
     1.06106     5.28428  0.00784541
     1.08412     6.47864  0.00722147
     1.10719     6.03035  0.00921765
     1.13026      4.4815  0.00664672
     1.15332     2.76507  0.00576696
     1.17639     1.43057  0.00414918
     1.19945    0.631237  0.00286513
     1.22252    0.242974  0.00188452
     1.24559   0.0785071  0.00108787
     1.26865   0.0216255 0.000575274
     1.29172  0.00567587 0.000276995
     1.31479  0.00137427 0.000126346
     1.33785  0.00188303 0.000160542
     1.36092    0.006015 0.000295381
     1.38399   0.0195879 0.000596054
     1.40705   0.0606521  0.00112045
     1.43012    0.149946  0.00161358
     1.45319     0.32047  0.00244068
     1.47625    0.582514  0.00232587
     1.49932    0.902672  0.00227504
     1.52238     1.18571  0.00316821
     1.54545     1.30886  0.00518083
     1.56852     1.22099  0.00413172
     1.59158    0.957956  0.00250945
     1.61465    0.638445  0.00207091
     1.63772    0.351351  0.00217155
     1.66078    0.165593  0.00160354
     1.68385    0.067304  0.00112888
     1.70692   0.0277332 0.000655184
     1.72998    0.032713 0.000602913
     1.75305    0.100331  0.00104807
     1.77612    0.304277  0.00180567
     1.79918     0.75068  0.00292383
     1.82225     1.51219  0.00340578
     1.84531     2.48197  0.00350114
     1.86838     3.33132   0.0042453
     1.89145     3.68751  0.00570209
     1.91451     3.37842  0.00525026
     1.93758     2.56698  0.00362883
     1.96065     1.62918  0.00291684
     1.98371    0.864725  0.00265307
     2.00678    0.389398  0.00211963
     2.02985     0.15776   0.0014331
     2.05291   0.0979072  0.00108153
     2.07598    0.170399  0.00145142
     2.09905    0.383494   0.0018012
     2.12211    0.711343  0.00180597
     2.14518     1.07103  0.00173728
     2.16824     1.32708  0.00284805
     2.19131     1.35815  0.00346834
     2.21438      1.1541  0.00275416
     2.23744    0.828578  0.00145959
     2.26051    0.509679  0.00151132
     2.28358    0.294232  0.00198193
     2.30664    0.224355  0.00229983
