#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -8.05762    -8.05762           0
           2    -8.06268    -8.06015  0.00178891
           3       -8.06     -8.0601  0.00119331
           4    -8.05864    -8.05973 0.000949192
           5    -8.06176    -8.06014 0.000841714
           6     -8.0598    -8.06008 0.000703314
           7    -8.05883     -8.0599 0.000625027
           8    -8.05841    -8.05972 0.000574097
           9    -8.06152    -8.05992 0.000544073
          10    -8.05883    -8.05981  0.00050031
          11    -8.05999    -8.05982 0.000455099
          12     -8.0608    -8.05991 0.000424412
          13      -8.057    -8.05968 0.000446696
          14    -8.05822    -8.05958 0.000426891
          15     -8.0634    -8.05983  0.00046853
          16    -8.05833    -8.05974 0.000448505
          17    -8.05419    -8.05941 0.000527691
          18    -8.05469    -8.05915 0.000559915
          19    -8.06033    -8.05921 0.000533884
          20     -8.0604    -8.05927 0.000510505
          21    -8.06053    -8.05933 0.000489676
          22    -8.05831    -8.05929   0.0004696
          23    -8.05893    -8.05927  0.00044944
          24    -8.05973    -8.05929 0.000431119
          25    -8.06356    -8.05946 0.000446496
          26    -8.06239    -8.05957 0.000443345
          27    -8.05905    -8.05955  0.00042734
          28    -8.06096     -8.0596 0.000415022
          29    -8.05989    -8.05961 0.000400829
          30    -8.05712    -8.05953  0.00039598
          31    -8.06152    -8.05959 0.000388382
          32    -8.05894    -8.05957 0.000376785
          33    -8.05983    -8.05958 0.000365449
          34    -8.06044    -8.05961 0.000355572
          35    -8.05829    -8.05957 0.000347402
          36    -8.06287    -8.05966 0.000349613
          37    -8.05878    -8.05964 0.000340968
          38    -8.05883    -8.05962 0.000332662
          39    -8.05935    -8.05961 0.000324205
          40    -8.06172    -8.05966 0.000320363
          41    -8.06007    -8.05967   0.0003127
          42    -8.05974    -8.05967 0.000305259
          43    -8.06112    -8.05971 0.000300012
          44    -8.05724    -8.05965 0.000298371
          45    -8.06398    -8.05975 0.000306868
          46    -8.05477    -8.05964 0.000318715
          47    -8.05827    -8.05961 0.000313264
          48    -8.06265    -8.05967 0.000313066
          49    -8.05424    -8.05956 0.000325727
          50    -8.05905    -8.05955 0.000319373
          51    -8.06139    -8.05959 0.000315144
          52    -8.05339    -8.05947 0.000330888
          53    -8.06105     -8.0595  0.00032598
          54    -8.05784    -8.05947 0.000321393
          55    -8.06252    -8.05952 0.000320298
          56    -8.06144    -8.05956 0.000316404
          57    -8.05877    -8.05954 0.000311155
          58    -8.05715     -8.0595 0.000308513
          59    -8.05893    -8.05949 0.000303438
          60    -8.06014     -8.0595 0.000298572
          61    -8.05907     -8.0595 0.000293762
          62    -8.05964     -8.0595 0.000289033
          63    -8.05512    -8.05943 0.000292678
          64     -8.0613    -8.05946 0.000289562
          65     -8.0628    -8.05951 0.000289633
          66    -8.05543    -8.05945 0.000291777
          67    -8.06026    -8.05946 0.000287675
          68    -8.05301    -8.05937 0.000298668
          69    -8.05782    -8.05934 0.000295181
          70    -8.05668     -8.0593   0.0002934
          71     -8.0576    -8.05928 0.000290246
          72     -8.0594    -8.05928  0.00028622
          73    -8.06105    -8.05931 0.000283323
          74     -8.0602    -8.05932 0.000279752
          75    -8.06362    -8.05938 0.000281848
          76    -8.06327    -8.05943  0.00028275
          77    -8.05736     -8.0594 0.000280349
          78     -8.0618    -8.05943 0.000278443
          79    -8.06082    -8.05945 0.000275469
          80    -8.05909    -8.05944 0.000272063
          81    -8.05897    -8.05944 0.000268769
          82    -8.05759    -8.05942 0.000266435
          83    -8.05938    -8.05942 0.000263226
          84    -8.06036    -8.05943 0.000260332
          85    -8.06022    -8.05944 0.000257436
          86     -8.0602    -8.05944 0.000254596
          87    -8.05785    -8.05943 0.000252326
          88    -8.06148    -8.05945 0.000250534
          89    -8.06112    -8.05947 0.000248419
          90    -8.06106    -8.05949 0.000246283
          91    -8.05895    -8.05948 0.000243647
          92    -8.06301    -8.05952 0.000244005
          93     -8.0609    -8.05953 0.000241831
          94    -8.05935    -8.05953 0.000239267
          95    -8.05969    -8.05953 0.000236754
          96    -8.06037    -8.05954 0.000234448
          97    -8.05774    -8.05952 0.000232764
          98    -8.05848    -8.05951 0.000230631
          99    -8.05877    -8.05951 0.000228423
         100    -8.05995    -8.05951 0.000226182
