#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.607215    0.607215           0
           2    0.584105     0.59566  0.00817059
           3    0.601695    0.597671   0.0056893
           4    0.605653    0.599667  0.00460362
           5    0.582682     0.59627  0.00477443
           6    0.600704    0.597009  0.00403549
           7    0.609979    0.598862  0.00386099
           8    0.602881    0.599364  0.00341089
           9     0.58445    0.597707  0.00341077
          10    0.612159    0.599152  0.00336195
          11    0.608666    0.600017  0.00316562
          12    0.580345    0.598378  0.00329908
          13    0.607806    0.599103  0.00312401
          14    0.599023    0.599097  0.00290087
          15     0.56959     0.59713  0.00330789
          16    0.599724    0.597292  0.00310511
          17    0.612001    0.598157  0.00304061
          18    0.611694     0.59891  0.00296323
          19    0.582033    0.598021  0.00293738
          20    0.581224    0.597181  0.00290811
          21    0.584561     0.59658  0.00283104
          22    0.583355    0.595979  0.00276545
          23    0.595098    0.595941  0.00264548
          24     0.59397    0.595859  0.00253652
          25    0.579763    0.595215  0.00251545
          26    0.586827    0.594892   0.0024393
          27    0.599294    0.595055   0.0023544
          28    0.588799    0.594832  0.00228089
          29     0.60076    0.595036  0.00221138
          30    0.607877    0.595464  0.00217869
          31    0.584057    0.595096  0.00213926
          32    0.593456    0.595045  0.00207303
          33    0.590942    0.594921  0.00201393
          34    0.597943     0.59501  0.00195666
          35    0.607452    0.595365  0.00193278
          36    0.579318    0.594919  0.00192981
          37     0.60077    0.595078  0.00188411
          38    0.601762    0.595253  0.00184273
          39    0.608082    0.595582   0.0018246
          40    0.585394    0.595328  0.00179668
          41    0.602075    0.595492  0.00176038
          42    0.597927     0.59555  0.00171942
          43    0.592068    0.595469  0.00168134
          44    0.620044    0.596028  0.00173341
          45    0.581171    0.595698  0.00172604
          46    0.622222    0.596274  0.00178224
          47    0.594791    0.596243   0.0017446
          48    0.581483    0.595935  0.00173514
          49     0.63499    0.596732  0.00187386
          50    0.598023    0.596758  0.00183656
          51    0.577862    0.596388  0.00183755
          52    0.624142    0.596921  0.00187812
          53    0.594453    0.596875  0.00184326
          54    0.617825    0.597263  0.00184951
          55    0.601453    0.597339  0.00181745
          56    0.606849    0.597509  0.00179291
          57    0.613749    0.597794  0.00178395
          58    0.603304    0.597889  0.00175572
          59    0.586864    0.597702  0.00173588
          60    0.580839    0.597421  0.00172955
          61    0.608229    0.597598  0.00171025
          62    0.589511    0.597467  0.00168763
          63    0.615688    0.597757  0.00168544
          64    0.584167    0.597544  0.00167243
          65    0.593915    0.597488  0.00164763
          66    0.614361    0.597744  0.00164238
          67     0.58627    0.597573  0.00162677
          68    0.632663    0.598089   0.0016827
          69    0.607022    0.598218  0.00166329
          70    0.602728    0.598283  0.00164077
          71    0.596824    0.598262  0.00161779
          72    0.602677    0.598324  0.00159648
          73    0.595077    0.598279  0.00157523
          74    0.596245    0.598252  0.00155419
          75     0.58489    0.598073  0.00154364
          76    0.591658    0.597989  0.00152564
          77    0.609641     0.59814  0.00151331
          78    0.578704    0.597891  0.00151428
          79    0.591248    0.597807  0.00149745
          80    0.596347    0.597789  0.00147884
          81    0.591337    0.597709  0.00146273
          82    0.593785    0.597661  0.00144567
          83    0.594866    0.597628  0.00142865
          84    0.584173    0.597467  0.00142059
          85    0.596397    0.597455  0.00140393
          86     0.59357     0.59741  0.00138833
          87    0.604307    0.597489  0.00137464
          88    0.581452    0.597307  0.00137105
          89    0.590684    0.597232  0.00135766
          90    0.582733    0.597071   0.0013521
          91    0.600794    0.597112  0.00133786
          92    0.581124    0.596938  0.00133456
          93    0.598468    0.596955  0.00132031
          94    0.601141    0.596999  0.00130701
          95    0.598619    0.597016  0.00129337
          96    0.595949    0.597005  0.00127994
          97    0.600392     0.59704  0.00126722
          98    0.594723    0.597017  0.00125451
          99    0.595037    0.596997    0.001242
         100    0.592539    0.596952  0.00123038
