#   N_BLOCK:  ACCEPTANCE:
           1    0.615667
           2    0.616095
           3    0.616883
           4    0.617549
           5    0.617537
           6    0.617485
           7    0.617772
           8    0.617979
           9    0.617814
          10    0.617533
          11    0.617201
          12     0.61703
          13    0.616947
          14    0.616743
          15    0.616469
          16    0.616389
          17    0.616458
          18    0.616396
          19    0.616314
          20    0.616272
          21     0.61621
          22    0.616311
          23    0.616309
          24    0.616276
          25    0.616275
          26    0.616267
          27     0.61627
          28    0.616228
          29    0.616317
          30    0.616394
          31    0.616364
          32    0.616324
          33    0.616348
          34    0.616301
          35    0.616302
          36    0.616371
          37    0.616419
          38    0.616391
          39    0.616408
          40    0.616382
          41    0.616354
          42    0.616341
          43    0.616398
          44    0.616418
          45    0.616371
          46    0.616344
          47    0.616338
          48    0.616359
          49    0.616374
          50    0.616441
          51    0.616417
          52    0.616445
          53     0.61642
          54    0.616472
          55    0.616532
          56    0.616526
          57    0.616509
          58     0.61648
          59    0.616488
          60    0.616479
          61    0.616435
          62    0.616456
          63    0.616439
          64    0.616493
          65    0.616505
          66    0.616479
          67    0.616423
          68    0.616427
          69    0.616434
          70    0.616492
          71    0.616528
          72    0.616485
          73    0.616519
          74    0.616499
          75    0.616508
          76    0.616492
          77    0.616441
          78    0.616433
          79    0.616439
          80    0.616421
          81    0.616389
          82    0.616361
          83    0.616385
          84    0.616384
          85     0.61639
          86    0.616382
          87    0.616383
          88    0.616403
          89    0.616434
          90    0.616432
          91    0.616431
          92    0.616413
          93    0.616393
          94    0.616393
          95     0.61638
          96    0.616367
          97    0.616354
          98    0.616363
          99    0.616349
         100    0.616352
