# DISTANCE:     AVE_GOFR:        ERROR:
    0.064633           0           0
    0.129266           0           0
    0.193899           0           0
    0.258532           0           0
    0.323165           0           0
    0.387798           0           0
    0.452431           0           0
    0.517064           0           0
    0.581697           0           0
     0.64633           0           0
    0.710963           0           0
    0.775596           0           0
     0.84023           0           0
    0.904863 0.000945918 6.63593e-05
    0.969496    0.148648 0.000716459
     1.03413     1.06197  0.00235879
     1.09876     2.03259  0.00364242
     1.16339     2.26718  0.00413005
     1.22803      2.0875  0.00350024
     1.29266     1.82751  0.00294266
     1.35729     1.61541  0.00264231
     1.42193     1.45184  0.00255068
     1.48656     1.33588  0.00175969
     1.55119     1.24955  0.00154942
     1.61583     1.18857  0.00158049
     1.68046     1.14532  0.00139948
     1.74509     1.11281  0.00131535
     1.80973      1.0879  0.00130877
     1.87436     1.07503  0.00105081
     1.93899     1.06625  0.00118634
     2.00362      1.0598  0.00108596
     2.06826     1.05797  0.00120639
     2.13289     1.05446  0.00101068
     2.19752     1.05187  0.00107128
     2.26216     1.04718 0.000944652
     2.32679     1.04268  0.00105286
     2.39142     1.03836 0.000891906
     2.45606     1.03054 0.000989803
     2.52069     1.02513 0.000856794
     2.58532     1.02048 0.000809947
     2.64995     1.01587 0.000828237
     2.71459     1.01379 0.000833971
     2.77922     1.01031 0.000764344
     2.84385     1.00697 0.000753007
     2.90849     1.00591   0.0007632
     2.97312     1.00376 0.000659315
     3.03775    0.999988 0.000704029
     3.10239     1.00138 0.000597285
     3.16702     1.00023 0.000776322
     3.23165     0.99768 0.000597082
     3.29629    0.996865 0.000632028
     3.36092    0.995098 0.000631099
     3.42555     0.99405 0.000590246
     3.49018    0.993498 0.000606695
     3.55482    0.993064 0.000579711
     3.61945    0.992921 0.000591924
     3.68408    0.991404  0.00053116
     3.74872      0.9921 0.000560942
     3.81335    0.991241 0.000536058
     3.87798     0.99099 0.000485178
     3.94262    0.989561 0.000511019
     4.00725    0.990806 0.000576083
     4.07188    0.989264 0.000542324
     4.13651    0.988685 0.000505322
     4.20115    0.988373 0.000480168
     4.26578    0.988906 0.000492244
     4.33041    0.987598 0.000507258
     4.39505    0.987981 0.000523267
     4.45968     0.98793 0.000460466
     4.52431     0.98857 0.000446689
     4.58895    0.987755 0.000479608
     4.65358    0.986985 0.000438034
     4.71821    0.986938   0.0003976
     4.78285    0.987109 0.000369166
     4.84748    0.986643 0.000413025
     4.91211    0.987033 0.000455991
     4.97674    0.987161 0.000388562
     5.04138    0.986642 0.000426516
     5.10601    0.986431 0.000390497
     5.17064    0.986388 0.000432989
     5.23528    0.985976 0.000405274
     5.29991     0.98651 0.000417705
     5.36454    0.986199  0.00039263
     5.42918    0.986519 0.000400623
     5.49381    0.986686 0.000332802
     5.55844    0.986171 0.000368569
     5.62307    0.985609 0.000344302
     5.68771    0.986023 0.000389065
     5.75234    0.986084 0.000353975
     5.81697      0.9857 0.000379457
     5.88161     0.98612  0.00030953
     5.94624    0.985744 0.000339822
     6.01087    0.985721 0.000359933
     6.07551    0.985857  0.00036793
     6.14014    0.985783 0.000311288
     6.20477    0.986274 0.000333275
      6.2694    0.986185  0.00033713
     6.33404    0.985831 0.000316582
     6.39867     0.98544 0.000333838
      6.4633    0.985969 0.000337627
