#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.412326   -0.412326           0
           2   -0.414387   -0.413356 0.000728966
           3    -0.41127   -0.412661 0.000747449
           4   -0.409913   -0.411974   0.0008174
           5   -0.413369   -0.412253 0.000699947
           6   -0.414862   -0.412688 0.000705512
           7   -0.411283   -0.412487 0.000632637
           8    -0.41416   -0.412696 0.000587088
           9   -0.414056   -0.412847 0.000540935
          10   -0.413941   -0.412957 0.000497783
          11   -0.413266   -0.412985 0.000453324
          12   -0.415546   -0.413198 0.000463059
          13   -0.415759   -0.413395  0.00046746
          14   -0.416768   -0.413636 0.000492266
          15   -0.416292   -0.413813 0.000490257
          16   -0.415134   -0.413896 0.000466519
          17   -0.414989    -0.41396 0.000443491
          18   -0.415088   -0.414023 0.000423254
          19   -0.416077   -0.414131 0.000414554
          20   -0.413181   -0.414083 0.000396538
          21   -0.415535   -0.414152 0.000383634
          22   -0.412182   -0.414063 0.000376508
          23   -0.413393   -0.414034 0.000361262
          24   -0.415276   -0.414086 0.000349895
          25   -0.414618   -0.414107 0.000336547
          26   -0.415604   -0.414164 0.000328492
          27   -0.413344   -0.414134 0.000317726
          28   -0.414605   -0.414151 0.000306824
          29   -0.409458   -0.413989 0.000336214
          30   -0.408093   -0.413793 0.000378114
          31   -0.414187   -0.413805  0.00036613
          32   -0.417165    -0.41391 0.000369438
          33   -0.413009   -0.413883 0.000359251
          34   -0.412854   -0.413853 0.000349957
          35   -0.414411   -0.413869 0.000340322
          36   -0.407592   -0.413694 0.000372867
          37   -0.411888   -0.413645 0.000365971
          38   -0.413255   -0.413635 0.000356484
          39     -0.4139   -0.413642 0.000347409
          40   -0.417413   -0.413736 0.000351285
          41   -0.412177   -0.413698  0.00034477
          42   -0.414422   -0.413715 0.000336992
          43   -0.409213   -0.413611 0.000345035
          44   -0.410507    -0.41354 0.000344329
          45   -0.416464   -0.413605 0.000342753
          46   -0.413799   -0.413609 0.000335327
          47   -0.416851   -0.413678 0.000335209
          48   -0.413088   -0.413666 0.000328451
          49   -0.413281   -0.413658 0.000321842
          50   -0.409396   -0.413573   0.0003265
          51    -0.41384   -0.413578  0.00032014
          52   -0.411176   -0.413532   0.0003173
          53   -0.416969   -0.413597  0.00031787
          54   -0.411178   -0.413552 0.000315125
          55   -0.408907   -0.413468 0.000320514
          56   -0.413571   -0.413469 0.000314796
          57   -0.417508    -0.41354 0.000317145
          58   -0.417069   -0.413601  0.00031746
          59    -0.41418   -0.413611 0.000312231
          60   -0.414461   -0.413625 0.000307348
          61   -0.418887   -0.413711  0.00031418
          62   -0.413551   -0.413709 0.000309123
          63   -0.417826   -0.413774  0.00031105
          64   -0.409509   -0.413707 0.000313247
          65   -0.413264   -0.413701 0.000308502
          66   -0.418668   -0.413776 0.000312873
          67   -0.419844   -0.413867 0.000321046
          68   -0.416756   -0.413909 0.000319124
          69   -0.413383   -0.413901  0.00031459
          70   -0.409321   -0.413836 0.000316827
          71   -0.410462   -0.413788 0.000315908
          72   -0.416304   -0.413823 0.000313446
          73   -0.410696   -0.413781 0.000312065
          74   -0.416183   -0.413813 0.000309533
          75   -0.411858   -0.413787 0.000306502
          76   -0.416028   -0.413816 0.000303884
          77   -0.418121   -0.413872 0.000305036
          78   -0.416777    -0.41391  0.00030339
          79   -0.411996   -0.413885 0.000300515
          80   -0.413156   -0.413876 0.000296897
          81   -0.416683   -0.413911 0.000295247
          82   -0.419402   -0.413978 0.000299144
          83   -0.410002    -0.41393 0.000299351
          84    -0.41273   -0.413916 0.000296128
          85   -0.409701   -0.413866 0.000296766
          86   -0.413399   -0.413861 0.000293365
          87   -0.414216   -0.413865 0.000290021
          88   -0.414154   -0.413868 0.000286744
          89   -0.410752   -0.413833 0.000285651
          90    -0.41428   -0.413838  0.00028252
          91   -0.414641   -0.413847 0.000279553
          92   -0.415168   -0.413861 0.000276884
          93   -0.417938   -0.413905 0.000277355
          94   -0.413568   -0.413901 0.000274427
          95   -0.412779    -0.41389 0.000271793
          96   -0.413966    -0.41389 0.000268963
          97   -0.415645   -0.413908 0.000266797
          98   -0.412667   -0.413896 0.000264376
          99   -0.415638   -0.413913 0.000262291
         100   -0.415102   -0.413925 0.000259937
