#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1  -0.0510898  -0.0510898           0
           2  -0.0514746  -0.0512822 0.000136054
           3  -0.0512635   -0.051276 9.08444e-05
           4  -0.0514691  -0.0513242 7.99415e-05
           5  -0.0515296  -0.0513653 7.37577e-05
           6  -0.0511036  -0.0513217 7.32323e-05
           7  -0.0507353  -0.0512379 9.97758e-05
           8  -0.0516419  -0.0512884 9.92641e-05
           9  -0.0520597  -0.0513741 0.000119637
          10   -0.051649  -0.0514016 0.000110786
          11    -0.05164  -0.0514233 0.000102813
          12  -0.0520584  -0.0514762 0.000107003
          13  -0.0516791  -0.0514918 9.99035e-05
          14  -0.0513865  -0.0514843 9.30505e-05
          15   -0.051061  -0.0514561 9.10259e-05
          16  -0.0518721  -0.0514821 8.89732e-05
          17  -0.0516188  -0.0514901 8.41021e-05
          18  -0.0511637   -0.051472 8.13619e-05
          19  -0.0518543  -0.0514921 7.95296e-05
          20  -0.0512835  -0.0514817 7.62339e-05
          21  -0.0517365  -0.0514938 7.35632e-05
          22   -0.051388   -0.051489 7.03766e-05
          23  -0.0517125  -0.0514987 6.79842e-05
          24  -0.0513678  -0.0514933 6.53699e-05
          25  -0.0510052  -0.0514737 6.56055e-05
          26   -0.051849  -0.0514882   6.465e-05
          27  -0.0518083     -0.0515 6.33334e-05
          28  -0.0513907  -0.0514961 6.11917e-05
          29  -0.0513203  -0.0514901 5.93812e-05
          30  -0.0512748  -0.0514829 5.78335e-05
          31  -0.0516429   -0.051488 5.61979e-05
          32  -0.0521465  -0.0515086 5.80865e-05
          33  -0.0514096  -0.0515056 5.64038e-05
          34  -0.0516137  -0.0515088 5.48343e-05
          35  -0.0516409  -0.0515126 5.33973e-05
          36  -0.0509962  -0.0514982  5.3806e-05
          37   -0.051584  -0.0515005 5.24017e-05
          38  -0.0514125  -0.0514982 5.10739e-05
          39  -0.0513428  -0.0514942 4.99195e-05
          40  -0.0514635  -0.0514935 4.86775e-05
          41  -0.0513512    -0.05149 4.76138e-05
          42  -0.0511612  -0.0514822 4.71193e-05
          43   -0.051217   -0.051476 4.64253e-05
          44  -0.0514372  -0.0514751 4.53786e-05
          45  -0.0519074  -0.0514847 4.53755e-05
          46  -0.0516366   -0.051488 4.45091e-05
          47  -0.0520141  -0.0514992 4.49475e-05
          48  -0.0517494  -0.0515044 4.43122e-05
          49   -0.051054  -0.0514952 4.43514e-05
          50  -0.0509494  -0.0514843 4.47878e-05
          51  -0.0516115  -0.0514868 4.39789e-05
          52  -0.0512418  -0.0514821 4.33848e-05
          53  -0.0519427  -0.0514908 4.34279e-05
          54   -0.051243  -0.0514862 4.28654e-05
          55   -0.051072  -0.0514787 4.27424e-05
          56    -0.05135  -0.0514764 4.20409e-05
          57    -0.05227  -0.0514903 4.35481e-05
          58  -0.0517433  -0.0514947 4.30152e-05
          59  -0.0512739  -0.0514909 4.24486e-05
          60  -0.0514521  -0.0514903 4.17461e-05
          61  -0.0519287  -0.0514975 4.16757e-05
          62  -0.0512908  -0.0514941 4.11366e-05
          63  -0.0517384   -0.051498 4.06659e-05
          64  -0.0506388  -0.0514846 4.21882e-05
          65  -0.0513174   -0.051482 4.16175e-05
          66  -0.0517851  -0.0514866 4.12396e-05
          67  -0.0521203  -0.0514961 4.16944e-05
          68  -0.0514005  -0.0514947  4.1105e-05
          69  -0.0509168  -0.0514863 4.13535e-05
          70  -0.0511989  -0.0514822  4.0966e-05
          71  -0.0510959  -0.0514767 4.07487e-05
          72  -0.0514415  -0.0514763 4.01857e-05
          73  -0.0515208  -0.0514769 3.96398e-05
          74   -0.051703  -0.0514799 3.92218e-05
          75  -0.0511832   -0.051476 3.88978e-05
          76  -0.0516624  -0.0514784 3.84633e-05
          77  -0.0516131  -0.0514802 3.80035e-05
          78  -0.0517119  -0.0514831 3.76322e-05
          79  -0.0513812  -0.0514818 3.71779e-05
          80  -0.0513211  -0.0514798 3.67675e-05
          81  -0.0515778   -0.051481 3.63334e-05
          82  -0.0520344  -0.0514878 3.65117e-05
          83  -0.0508532  -0.0514801 3.68637e-05
          84  -0.0512038  -0.0514769 3.65714e-05
          85  -0.0508187  -0.0514691 3.69517e-05
          86  -0.0512615  -0.0514667 3.66008e-05
          87  -0.0515441  -0.0514676 3.61909e-05
          88  -0.0512015  -0.0514646 3.59058e-05
          89  -0.0510635  -0.0514601 3.57839e-05
          90  -0.0514712  -0.0514602 3.53866e-05
          91  -0.0509817  -0.0514549 3.53862e-05
          92  -0.0515678  -0.0514562 3.50228e-05
          93  -0.0519871  -0.0514619 3.51085e-05
          94  -0.0516142  -0.0514635 3.47724e-05
          95  -0.0511877  -0.0514606 3.45273e-05
          96  -0.0513614  -0.0514595 3.41831e-05
          97  -0.0516943   -0.051462 3.39162e-05
          98  -0.0512181  -0.0514595 3.36613e-05
          99  -0.0518772  -0.0514637 3.35847e-05
         100  -0.0516996  -0.0514661 3.33315e-05
