#   N_BLOCK:  ACCEPTANCE:
           1     0.51206
           2    0.510836
           3    0.509852
           4    0.510363
           5    0.510571
           6    0.510484
           7    0.510802
           8    0.510403
           9    0.510163
          10    0.510283
          11    0.510069
          12    0.510161
          13    0.510475
          14    0.510436
          15     0.51026
          16    0.510189
          17    0.510244
          18    0.510397
          19    0.510419
          20    0.510476
          21     0.51046
          22    0.510424
          23    0.510227
          24    0.510263
          25    0.510389
          26    0.510316
          27    0.510407
          28    0.510421
          29    0.510492
          30    0.510374
          31    0.510364
          32    0.510493
          33    0.510384
          34    0.510394
          35    0.510407
          36    0.510458
          37    0.510474
          38    0.510439
          39    0.510437
          40    0.510441
          41    0.510411
          42    0.510349
          43    0.510328
          44    0.510271
          45    0.510256
          46     0.51025
          47    0.510225
          48    0.510272
          49    0.510204
          50     0.51017
          51    0.510104
          52    0.510093
          53    0.510013
          54    0.510046
          55    0.510037
          56    0.510033
          57    0.510008
          58    0.510008
          59    0.510048
          60    0.510016
          61     0.50999
          62    0.509961
          63    0.509987
          64    0.510015
          65    0.510015
          66    0.509978
          67    0.509988
          68    0.509948
          69    0.509948
          70    0.509943
          71    0.509983
          72    0.509972
          73    0.509961
          74     0.51001
          75    0.510032
          76    0.510089
          77    0.510077
          78    0.510071
          79    0.510063
          80    0.510072
          81    0.510077
          82    0.510057
          83    0.510085
          84    0.510137
          85    0.510119
          86    0.510136
          87    0.510142
          88    0.510149
          89    0.510118
          90    0.510123
          91    0.510186
          92    0.510166
          93     0.51017
          94    0.510159
          95     0.51017
          96    0.510183
          97    0.510163
          98    0.510159
          99    0.510138
         100    0.510123
