# DISTANCE:     AVE_GOFR:        ERROR:
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438           0           0
    0.872088 1.45892e-05 3.26225e-06
    0.897737  0.00122381  3.0934e-05
    0.923387   0.0242067 0.000199829
    0.949037    0.164201 0.000522782
    0.974686    0.564253  0.00120069
     1.00034     1.20003  0.00186919
     1.02599     1.86254  0.00191471
     1.05164     2.33658  0.00177331
     1.07728     2.55279  0.00144174
     1.10293     2.55019  0.00158321
     1.12858     2.40791  0.00129363
     1.15423     2.20176  0.00133853
     1.17988     1.97311  0.00163748
     1.20553       1.755  0.00154422
     1.23118     1.55852  0.00152181
     1.25683     1.38802  0.00132852
     1.28248     1.24512  0.00126145
     1.30813      1.1254  0.00114838
     1.33378     1.02347  0.00108595
     1.35943    0.941135 0.000995973
     1.38508    0.873726   0.0008271
     1.41073    0.817988 0.000769149
     1.43638    0.774095 0.000692747
     1.46203    0.738616 0.000745823
     1.48768    0.711692 0.000760553
     1.51333    0.691339 0.000655375
     1.53898    0.677963 0.000702614
     1.56463    0.671648 0.000712447
     1.59028     0.67064 0.000720214
     1.61593    0.675204 0.000771921
     1.64158    0.685016 0.000736045
     1.66723    0.701546 0.000672875
     1.69288    0.723136 0.000737826
     1.71853     0.74866 0.000707563
     1.74418    0.779396 0.000750136
     1.76983    0.814944 0.000731402
     1.79547    0.852168 0.000629765
     1.82112    0.893157 0.000691289
     1.84677    0.935401 0.000729641
     1.87242    0.977097 0.000707969
     1.89807     1.01927 0.000782708
     1.92372     1.05847 0.000734364
     1.94937     1.09593  0.00085078
     1.97502     1.12895 0.000732683
     2.00067     1.16187 0.000726616
     2.02632     1.18522 0.000682338
     2.05197     1.20373 0.000674158
     2.07762     1.21448 0.000699387
     2.10327     1.21649 0.000709263
     2.12892     1.20976 0.000623405
     2.15457     1.19494  0.00067303
     2.18022      1.1754 0.000700468
     2.20587     1.15241 0.000678289
     2.23152     1.12451 0.000702315
     2.25717     1.09616 0.000664019
     2.28282     1.06666 0.000611829
     2.30847     1.03897 0.000689042
     2.33412     1.01249 0.000614648
     2.35977    0.988069 0.000647166
     2.38542    0.966305  0.00057292
     2.41107    0.947322 0.000616258
     2.43672    0.930759  0.00054298
     2.46237    0.917884  0.00057998
     2.48802    0.908394 0.000558023
     2.51366     0.89422 0.000560125
     2.53931    0.885221 0.000581215
     2.56496    0.885046 0.000564276
