#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.48788    -5.48788           0
           2    -5.45963    -5.47375  0.00998584
           3     -5.4489    -5.46547  0.00948989
           4    -5.46659    -5.46575  0.00712156
           5     -5.4737    -5.46734  0.00587188
           6    -5.45885    -5.46592  0.00506102
           7    -5.48847    -5.46915  0.00526398
           8    -5.46163    -5.46821  0.00468911
           9    -5.45151    -5.46635     0.00452
          10    -5.47058    -5.46677  0.00408772
          11    -5.45914    -5.46608  0.00377455
          12     -5.4556    -5.46521  0.00355959
          13    -5.48061    -5.46639  0.00347736
          14    -5.45827    -5.46581  0.00327704
          15    -5.46161    -5.46553  0.00307051
          16       -5.47    -5.46581  0.00289129
          17    -5.47385    -5.46628  0.00275961
          18    -5.47873    -5.46697  0.00269157
          19    -5.47741    -5.46752  0.00260538
          20    -5.47671    -5.46798  0.00251529
          21    -5.47429    -5.46828   0.0024134
          22    -5.46264    -5.46803  0.00231729
          23     -5.4628     -5.4678  0.00222767
          24    -5.47821    -5.46823  0.00217664
          25    -5.47888    -5.46866  0.00213083
          26    -5.45763    -5.46824  0.00209065
          27    -5.49059    -5.46906  0.00217097
          28    -5.46879    -5.46905  0.00209346
          29    -5.46659    -5.46897  0.00202299
          30    -5.45026    -5.46835  0.00204938
          31    -5.47943     -5.4687  0.00201424
          32    -5.49018    -5.46937  0.00206005
          33    -5.45095    -5.46882  0.00207193
          34    -5.47246    -5.46892  0.00201376
          35    -5.45872    -5.46863  0.00197721
          36    -5.46917    -5.46865  0.00192234
          37    -5.46991    -5.46868  0.00187069
          38    -5.46937     -5.4687  0.00182155
          39    -5.47331    -5.46882  0.00177867
          40    -5.47792    -5.46904  0.00174871
          41    -5.45967    -5.46882  0.00172094
          42      -5.452    -5.46842  0.00172592
          43    -5.46433    -5.46832  0.00168839
          44    -5.44898    -5.46788  0.00170626
          45    -5.46509    -5.46782  0.00166947
          46    -5.47093    -5.46789  0.00163455
          47     -5.4411    -5.46732  0.00169623
          48    -5.47784    -5.46754  0.00167501
          49    -5.46728    -5.46753  0.00164083
          50    -5.44708    -5.46712  0.00165819
          51    -5.46148    -5.46701  0.00162936
          52    -5.45799    -5.46684  0.00160724
          53    -5.44509    -5.46643  0.00162844
          54    -5.45765    -5.46626  0.00160637
          55     -5.4542    -5.46605  0.00159208
          56    -5.45336    -5.46582  0.00157968
          57    -5.45464    -5.46562  0.00156409
          58    -5.45298     -5.4654  0.00155224
          59    -5.47986    -5.46565  0.00154515
          60    -5.44966    -5.46538  0.00154221
          61    -5.46439    -5.46537  0.00151702
          62    -5.43844    -5.46493  0.00155347
          63    -5.47701    -5.46512  0.00154059
          64    -5.47893    -5.46534  0.00153154
          65    -5.45304    -5.46515  0.00151962
          66    -5.47082    -5.46524  0.00149902
          67    -5.48318     -5.4655  0.00150039
          68    -5.45284    -5.46532  0.00148984
          69     -5.4629    -5.46528  0.00146866
          70    -5.45987    -5.46521  0.00144971
          71     -5.4628    -5.46517  0.00142969
          72    -5.46593    -5.46518  0.00140987
          73    -5.44662    -5.46493   0.0014133
          74    -5.48449    -5.46519  0.00141872
          75    -5.47066    -5.46527  0.00140168
          76    -5.48191    -5.46548  0.00140023
          77    -5.47101    -5.46556  0.00138389
          78    -5.46576    -5.46556  0.00136615
          79    -5.46442    -5.46554  0.00134893
          80     -5.4688    -5.46559  0.00133268
          81    -5.46374    -5.46556  0.00131642
          82    -5.45821    -5.46547  0.00130342
          83    -5.46877    -5.46551  0.00128832
          84    -5.48938     -5.4658  0.00130395
          85    -5.45815    -5.46571  0.00129171
          86    -5.47514    -5.46582  0.00128134
          87    -5.46771    -5.46584   0.0012668
          88    -5.45927    -5.46576   0.0012546
          89    -5.44332    -5.46551   0.0012656
          90    -5.46157    -5.46547   0.0012523
          91    -5.49694    -5.46581  0.00128539
          92    -5.44971    -5.46564  0.00128329
          93    -5.47023    -5.46569  0.00127044
          94    -5.45647    -5.46559   0.0012607
          95    -5.46518    -5.46559  0.00124743
          96    -5.45946    -5.46552  0.00123607
          97    -5.47266     -5.4656  0.00122552
          98    -5.45964    -5.46553  0.00121452
          99    -5.44042    -5.46528  0.00122845
         100    -5.47563    -5.46538  0.00122052
