#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     -1.5065     -1.5065           0
           2    -1.33366    -1.42008    0.061107
           3     -1.2784    -1.37285   0.0560942
           4    -1.39948    -1.37951   0.0424636
           5    -1.39447     -1.3825   0.0340761
           6    -1.31988    -1.37207   0.0299522
           7    -1.47288    -1.38647   0.0289293
           8    -1.32611    -1.37892   0.0262787
           9    -1.28213    -1.36817   0.0254648
          10    -1.40129    -1.37148   0.0231328
          11    -1.32563    -1.36731   0.0214021
          12    -1.32084    -1.36344   0.0199658
          13    -1.43587    -1.36901   0.0191918
          14    -1.36223    -1.36853    0.017827
          15     -1.3491    -1.36723   0.0166855
          16    -1.40978    -1.36989   0.0158531
          17    -1.40989    -1.37224   0.0150941
          18    -1.44266    -1.37616   0.0147539
          19    -1.41984    -1.37845   0.0141553
          20    -1.43709    -1.38139   0.0137478
          21    -1.41741     -1.3831   0.0131997
          22     -1.3801    -1.38297   0.0126005
          23    -1.33552     -1.3809   0.0122203
          24    -1.43747    -1.38326   0.0119363
          25    -1.45742    -1.38623   0.0118217
          26    -1.33929    -1.38442    0.011504
          27    -1.51195    -1.38914   0.0120085
          28    -1.38671    -1.38906   0.0115799
          29    -1.41562    -1.38997   0.0112168
          30    -1.28072    -1.38633   0.0114188
          31    -1.42672    -1.38763   0.0111245
          32    -1.50766    -1.39138   0.0113917
          33    -1.28473    -1.38815   0.0114958
          34    -1.42173    -1.38914      0.0112
          35    -1.30879    -1.38684   0.0111128
          36    -1.39996    -1.38721   0.0108101
          37    -1.41005    -1.38783   0.0105355
          38    -1.36815    -1.38731    0.010271
          39    -1.38449    -1.38724   0.0100079
          40    -1.43982    -1.38855  0.00984365
          41     -1.3432    -1.38745   0.0096655
          42    -1.29816    -1.38532  0.00966633
          43    -1.35408    -1.38459   0.0094688
          44    -1.28948    -1.38243  0.00949714
          45    -1.37456    -1.38226   0.0092877
          46    -1.39436    -1.38252  0.00908952
          47    -1.27554    -1.38024  0.00917672
          48    -1.45038     -1.3817  0.00910112
          49    -1.37265    -1.38152  0.00891726
          50    -1.26989    -1.37929  0.00901409
          51    -1.33869    -1.37849  0.00887243
          52    -1.32133    -1.37739  0.00876964
          53    -1.24404    -1.37488  0.00895786
          54    -1.31676     -1.3738  0.00885639
          55    -1.33619    -1.37312  0.00872172
          56    -1.31201    -1.37202  0.00863396
          57    -1.33545    -1.37138  0.00850629
          58    -1.33912    -1.37083   0.0083778
          59    -1.43892    -1.37198  0.00831492
          60    -1.28477    -1.37053   0.0083024
          61    -1.35332    -1.37024  0.00817109
          62    -1.25979    -1.36846  0.00823122
          63    -1.45513    -1.36984  0.00821471
          64    -1.41486    -1.37054  0.00811642
          65    -1.30868    -1.36959  0.00804715
          66    -1.37069    -1.36961  0.00792524
          67    -1.43544    -1.37059  0.00786762
          68    -1.32486    -1.36992  0.00778062
          69    -1.35734    -1.36973  0.00766999
          70    -1.36583    -1.36968  0.00756062
          71    -1.38233    -1.36986  0.00745623
          72    -1.34409     -1.3695  0.00736126
          73     -1.2717    -1.36816  0.00738132
          74    -1.47779    -1.36964  0.00742875
          75    -1.40856    -1.37016  0.00734781
          76    -1.46821    -1.37145  0.00736351
          77    -1.39995    -1.37182  0.00727717
          78    -1.37296    -1.37183  0.00718389
          79    -1.35739    -1.37165  0.00709528
          80    -1.34805    -1.37136  0.00701272
          81    -1.34765    -1.37106  0.00693225
          82    -1.31735    -1.37041  0.00687859
          83    -1.38587     -1.3706  0.00679824
          84    -1.51665    -1.37233  0.00693609
          85     -1.3282    -1.37182  0.00687389
          86    -1.42347    -1.37242  0.00682016
          87     -1.3888     -1.3726  0.00674437
          88    -1.34402    -1.37228  0.00667554
          89    -1.25019    -1.37091  0.00674002
          90    -1.32913    -1.37044   0.0066811
          91    -1.52705    -1.37216  0.00682574
          92    -1.27888    -1.37115  0.00682644
          93    -1.39831    -1.37144  0.00675929
          94    -1.29795    -1.37066  0.00673245
          95    -1.36875    -1.37064  0.00666161
          96    -1.34817    -1.37041  0.00659633
          97    -1.40517    -1.37076  0.00653805
          98    -1.34325    -1.37048  0.00647736
          99    -1.27129    -1.36948  0.00648897
         100    -1.39837    -1.36977   0.0064305
