#   N_BLOCK:  ACCEPTANCE:
           1     0.54663
           2    0.547231
           3    0.546579
           4    0.547081
           5    0.546598
           6     0.54685
           7     0.54704
           8    0.547055
           9     0.54709
          10    0.547043
          11    0.546986
          12    0.546997
          13    0.546953
          14    0.546926
          15    0.546831
          16    0.546878
          17    0.546924
          18    0.546889
          19    0.546925
          20    0.547045
          21    0.546972
          22    0.546979
          23     0.54692
          24    0.546823
          25     0.54684
          26    0.546685
          27    0.546708
          28    0.546642
          29    0.546644
          30    0.546592
          31    0.546613
          32    0.546662
          33    0.546636
          34    0.546632
          35    0.546644
          36    0.546635
          37    0.546582
          38    0.546563
          39    0.546531
          40    0.546543
          41    0.546539
          42    0.546576
          43    0.546605
          44    0.546584
          45     0.54658
          46    0.546573
          47    0.546575
          48    0.546564
          49    0.546543
          50    0.546549
          51    0.546524
          52    0.546548
          53    0.546538
          54    0.546538
          55    0.546538
          56    0.546542
          57    0.546559
          58     0.54654
          59    0.546552
          60    0.546546
          61    0.546549
          62    0.546534
          63    0.546494
          64     0.54651
          65    0.546507
          66    0.546491
          67    0.546474
          68    0.546447
          69    0.546438
          70    0.546436
          71    0.546435
          72    0.546434
          73    0.546437
          74    0.546449
          75    0.546448
          76    0.546466
          77    0.546471
          78    0.546465
          79    0.546479
          80    0.546467
          81    0.546459
          82    0.546434
          83    0.546445
          84    0.546453
          85    0.546443
          86    0.546445
          87    0.546473
          88    0.546443
          89    0.546463
          90    0.546441
          91    0.546467
          92    0.546446
          93    0.546436
          94    0.546438
          95    0.546425
          96    0.546418
          97    0.546393
          98    0.546394
          99    0.546409
         100    0.546409
