# DISTANCE:     AVE_GOFR:        ERROR:
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391           0           0
    0.853458           0           0
    0.876524 7.76201e-07 5.43341e-07
    0.899591 6.92221e-05 7.44243e-06
    0.922657  0.00331327 5.42491e-05
    0.945724   0.0472499 0.000245726
     0.96879    0.293834 0.000784561
    0.991856     1.00563   0.0013565
     1.01492       2.241  0.00171425
     1.03799     3.62241  0.00159002
     1.06106     4.61884  0.00169713
     1.08412     4.89792   0.0024559
     1.10719     4.49117   0.0026348
     1.13026      3.6603  0.00217269
     1.15332     2.69745  0.00147223
     1.17639      1.8157  0.00103947
     1.19945     1.13026 0.000914328
     1.22252    0.653047 0.000926021
     1.24559    0.353045 0.000733261
     1.26865    0.179364  0.00056502
     1.29172   0.0886049 0.000405737
     1.31479   0.0490243 0.000332433
     1.33785   0.0423595 0.000305435
     1.36092   0.0607047 0.000319626
     1.38399     0.10587 0.000415289
     1.40705    0.184379 0.000507606
     1.43012    0.300502  0.00047004
     1.45319    0.452532 0.000464595
     1.47625    0.628325 0.000460957
     1.49932     0.79747 0.000692881
     1.52238    0.922197 0.000931259
     1.54545    0.970402 0.000956086
     1.56852    0.928731 0.000954853
     1.59158    0.808886 0.000750431
     1.61465    0.640948 0.000459128
     1.63772    0.465474  0.00040572
     1.66078     0.31661 0.000475156
     1.68385    0.219392 0.000598768
     1.70692    0.191234 0.000704578
     1.72998    0.254409  0.00076376
     1.75305    0.433503 0.000916335
     1.77612    0.748624 0.000925022
     1.79918     1.19724 0.000811219
     1.82225     1.72708 0.000597174
     1.84531     2.23666 0.000938338
     1.86838     2.59833  0.00142338
     1.89145     2.71604  0.00186421
     1.91451     2.55857  0.00166368
     1.93758     2.18112  0.00109767
     1.96065     1.69011  0.00064713
     1.98371     1.20018 0.000637412
     2.00678    0.801211 0.000824628
     2.02985    0.541284 0.000943306
     2.05291    0.433093 0.000995664
     2.07598    0.460834 0.000796271
     2.09905    0.586396 0.000581665
     2.12211    0.758078 0.000353869
     2.14518    0.917361 0.000479148
     2.16824     1.01478 0.000710635
     2.19131     1.02335 0.000685123
     2.21438    0.920407 0.000576045
     2.23744    0.780977 0.000364615
     2.26051    0.653865 0.000542281
     2.28358    0.571555 0.000792492
     2.30664    0.572516 0.000930146
