#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.54589    -7.54589           0
           2    -7.54215    -7.54402  0.00132222
           3    -7.53535    -7.54113  0.00251773
           4    -7.54377    -7.54179  0.00197322
           5    -7.53785      -7.541  0.00172878
           6    -7.55636    -7.54356  0.00274461
           7    -7.55331    -7.54495  0.00268277
           8    -7.53496     -7.5437  0.00262237
           9    -7.54403    -7.54374  0.00233125
          10    -7.54918    -7.54428  0.00216065
          11    -7.54849    -7.54467   0.0019978
          12    -7.55026    -7.54513    0.001885
          13    -7.54255    -7.54493  0.00175044
          14    -7.54639    -7.54504  0.00162851
          15    -7.54505    -7.54504  0.00151994
          16    -7.55911    -7.54592  0.00165995
          17    -7.55984    -7.54674  0.00175274
          18    -7.53738    -7.54622  0.00173069
          19     -7.5409    -7.54594  0.00166207
          20    -7.55412    -7.54635  0.00162859
          21    -7.54994    -7.54652     0.00156
          22    -7.54961    -7.54666  0.00149542
          23    -7.54661    -7.54666   0.0014304
          24    -7.54218    -7.54647  0.00138294
          25    -7.55341    -7.54675  0.00135517
          26    -7.53978    -7.54648  0.00132928
          27    -7.54616    -7.54647   0.0012801
          28    -7.54172     -7.5463  0.00124556
          29    -7.53954    -7.54607   0.0012242
          30    -7.53596    -7.54573  0.00122883
          31     -7.5547    -7.54602  0.00122278
          32     -7.5551     -7.5463  0.00121709
          33    -7.53959     -7.5461  0.00119706
          34    -7.55595    -7.54639  0.00119639
          35    -7.53869    -7.54617  0.00118227
          36    -7.55563    -7.54643  0.00117827
          37     -7.5576    -7.54673  0.00118447
          38     -7.5292    -7.54627  0.00123991
          39    -7.54498    -7.54624  0.00120856
          40    -7.55682     -7.5465  0.00120698
          41    -7.56646    -7.54699   0.0012719
          42     -7.5384    -7.54679  0.00125797
          43    -7.54219    -7.54668  0.00123324
          44    -7.55214     -7.5468  0.00121144
          45    -7.54363    -7.54673  0.00118657
          46     -7.5538    -7.54689  0.00117068
          47    -7.54135    -7.54677  0.00115167
          48    -7.56052    -7.54705  0.00116274
          49    -7.53587    -7.54683   0.0011612
          50    -7.53586    -7.54661   0.0011585
          51    -7.55307    -7.54673  0.00114269
          52    -7.55087    -7.54681  0.00112348
          53    -7.54316    -7.54674  0.00110439
          54    -7.55194    -7.54684  0.00108813
          55     -7.5367    -7.54666  0.00108385
          56    -7.56215    -7.54693  0.00109925
          57    -7.54787    -7.54695  0.00108009
          58    -7.54489    -7.54691  0.00106205
          59    -7.56059    -7.54715  0.00106905
          60    -7.54139    -7.54705  0.00105553
          61    -7.54983     -7.5471   0.0010392
          62    -7.54503    -7.54706  0.00102298
          63    -7.54416    -7.54702  0.00100777
          64    -7.56557    -7.54731  0.00103287
          65    -7.53295    -7.54708  0.00104034
          66     -7.5412      -7.547  0.00102839
          67    -7.54145    -7.54691  0.00101637
          68    -7.55043    -7.54696  0.00100274
          69    -7.55093    -7.54702 0.000989852
          70    -7.54748    -7.54703 0.000975733
          71     -7.5556    -7.54715 0.000969422
          72    -7.53866    -7.54703 0.000963098
          73    -7.55024    -7.54708 0.000950908
          74    -7.56815    -7.54736 0.000979774
          75    -7.54743    -7.54736 0.000966711
          76    -7.55512    -7.54746 0.000959361
          77    -7.54996     -7.5475  0.00094745
          78    -7.54871    -7.54751  0.00093543
          79    -7.55289    -7.54758 0.000926065
          80    -7.53092    -7.54737 0.000937602
          81    -7.55524    -7.54747 0.000931042
          82    -7.53638    -7.54733 0.000929454
          83    -7.55407    -7.54741 0.000921789
          84     -7.5514    -7.54746 0.000912038
          85    -7.54767    -7.54746 0.000901311
          86    -7.55329    -7.54753 0.000893369
          87    -7.55414    -7.54761 0.000886321
          88    -7.53124    -7.54742 0.000895555
          89     -7.5447    -7.54739 0.000886016
          90    -7.53608    -7.54727 0.000885047
          91    -7.56822     -7.5475 0.000904781
          92    -7.53469    -7.54736 0.000905585
          93    -7.53358    -7.54721 0.000907886
          94    -7.53324    -7.54706 0.000910306
          95     -7.5476    -7.54707 0.000900742
          96    -7.54185    -7.54701 0.000892994
          97     -7.5458      -7.547 0.000883876
          98    -7.54504    -7.54698 0.000875083
          99    -7.55691    -7.54708 0.000871976
         100    -7.55041    -7.54711 0.000863893
