#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     3.45238     3.45238           0
           2     3.47206     3.46222  0.00695585
           3     3.50828     3.47757   0.0133663
           4     3.46094     3.47341   0.0106524
           5     3.49202     3.47714   0.0091486
           6     3.39037     3.46267   0.0152443
           7     3.40461     3.45438   0.0151559
           8     3.51079     3.46143    0.014811
           9     3.46025      3.4613   0.0131659
          10     3.42885     3.45805   0.0122427
          11     3.43244     3.45573   0.0113491
          12     3.42147     3.45287   0.0107563
          13     3.46669     3.45393  0.00998123
          14     3.44263     3.45313  0.00930091
          15     3.45296     3.45312  0.00868085
          16     3.37562     3.44827  0.00939282
          17      3.3705      3.4437  0.00989191
          18     3.49033     3.44629  0.00967574
          19      3.4734     3.44771  0.00927109
          20     3.40091     3.44537  0.00909817
          21     3.42566     3.44444  0.00871323
          22     3.43088     3.44382  0.00833892
          23     3.44343      3.4438  0.00797637
          24     3.46961     3.44488  0.00771615
          25     3.40385     3.44324     0.00758
          26      3.4804     3.44467    0.007422
          27     3.44948     3.44484  0.00714924
          28     3.47485     3.44592  0.00697378
          29     3.48296     3.44719  0.00684933
          30      3.4995     3.44894  0.00683935
          31     3.39744     3.44728  0.00681745
          32     3.39629     3.44568  0.00678805
          33     3.48579      3.4469  0.00669026
          34     3.39014     3.44523  0.00669849
          35     3.48544     3.44638  0.00660491
          36     3.39792     3.44503  0.00655715
          37     3.38461      3.4434  0.00658017
          38     3.53804     3.44589   0.0068622
          39     3.45027       3.446  0.00668716
          40     3.38959     3.44459  0.00666705
          41     3.33348     3.44188  0.00703372
          42     3.48883       3.443  0.00695452
          43     3.46762     3.44357  0.00681631
          44     3.41745     3.44298  0.00668719
          45      3.4604     3.44336  0.00654979
          46     3.40302     3.44249  0.00646584
          47     3.47284     3.44313  0.00636044
          48     3.36622     3.44153  0.00642663
          49      3.5033     3.44279  0.00641791
          50     3.50166     3.44397  0.00639662
          51     3.40287     3.44316  0.00632176
          52     3.42263     3.44277  0.00621251
          53     3.46056      3.4431  0.00610435
          54     3.41616     3.44261  0.00601167
          55     3.49428     3.44354  0.00597534
          56     3.35595     3.44198   0.0060699
          57     3.43664     3.44189  0.00596414
          58      3.4534     3.44209  0.00586461
          59     3.36992     3.44086  0.00589136
          60     3.47133     3.44137  0.00581502
          61      3.4239     3.44108  0.00572674
          62     3.45161     3.44125  0.00563689
          63     3.45487     3.44147  0.00555155
          64     3.34253     3.43992  0.00567599
          65     3.52236     3.44119   0.0057286
          66     3.47541     3.44171  0.00566521
          67     3.47339     3.44218  0.00560036
          68     3.42254     3.44189  0.00552544
          69     3.41898     3.44156  0.00545533
          70     3.43881     3.44152  0.00537754
          71     3.39708      3.4409  0.00533812
          72     3.48925     3.44157  0.00530606
          73     3.41802     3.44125  0.00524317
          74     3.32339     3.43965  0.00540882
          75     3.43809     3.43963  0.00533674
          76     3.40022     3.43911  0.00529165
          77      3.4268     3.43895  0.00522534
          78     3.43657     3.43892  0.00515844
          79     3.40957     3.43855  0.00510651
          80     3.53008      3.4397  0.00516924
          81     3.39761     3.43918  0.00513147
          82     3.50104     3.43993  0.00512405
          83     3.40791     3.43954  0.00507682
          84     3.41433     3.43924  0.00502524
          85     3.43886     3.43924  0.00496613
          86     3.40902     3.43889   0.0049208
          87     3.40221     3.43847  0.00488226
          88     3.52866     3.43949  0.00493318
          89     3.45516     3.43967  0.00488089
          90     3.50347     3.44038  0.00487787
          91     3.32294     3.43909  0.00499205
          92     3.50599     3.43981  0.00499047
          93     3.51226     3.44059  0.00499723
          94     3.51774     3.44141  0.00501101
          95     3.43782     3.44138   0.0049584
          96     3.47134     3.44169  0.00491657
          97     3.44827     3.44176  0.00486635
          98     3.45113     3.44185  0.00481763
          99     3.38618     3.44129  0.00480168
         100     3.42518     3.44113  0.00475637
